Energy     Target
4.6276E-03 6.6667E-07
2.4399E-02 6.6667E-07
3.1367E-03 6.6667E-07
2.6501E-03 6.6667E-07
1.8337E-03 6.6667E-07
1.3918E-03 6.6667E-07
7.6404E-04 6.6667E-07
5.2036E-04 6.6667E-07
4.9526E-04 6.6667E-07
4.1673E-04 6.6667E-07
1.7372E-04 6.6667E-07
3.3787E-04 6.6667E-07
2.0136E-04 6.6667E-07
2.7336E-04 6.6667E-07
1.8355E-04 6.6667E-07
1.4483E-04 6.6667E-07
2.5810E-04 6.6667E-07
4.0769E-05 6.6667E-07
2.4648E-04 6.6667E-07
7.5166E-05 6.6667E-07
1.3760E-04 6.6667E-07
1.9596E-04 6.6667E-07
1.5732E-04 6.6667E-07
1.6529E-04 6.6667E-07
1.0023E-04 6.6667E-07
8.7819E-05 6.6667E-07
3.3639E-05 6.6667E-07
1.5719E-04 6.6667E-07
3.3803E-05 6.6667E-07
5.1546E-05 6.6667E-07
6.1747E-05 6.6667E-07
7.3165E-05 6.6667E-07
6.2497E-05 6.6667E-07
4.7850E-05 6.6667E-07
4.3222E-05 6.6667E-07
3.5122E-05 6.6667E-07
3.3481E-05 6.6667E-07
2.2516E-05 6.6667E-07
3.2402E-05 6.6667E-07
4.8848E-05 6.6667E-07
1.2913E-05 6.6667E-07
2.5599E-05 6.6667E-07
1.1563E-05 6.6667E-07
1.9301E-05 6.6667E-07
2.4214E-05 6.6667E-07
2.3148E-05 6.6667E-07
1.6965E-05 6.6667E-07
1.0535E-05 6.6667E-07
1.0898E-05 6.6667E-07
1.7784E-05 6.6667E-07
1.7027E-05 6.6667E-07
1.1913E-05 6.6667E-07
1.2034E-05 6.6667E-07
1.0312E-05 6.6667E-07
1.2985E-05 6.6667E-07
1.4226E-05 6.6667E-07
1.0287E-05 6.6667E-07
8.4617E-06 6.6667E-07
2.1615E-05 6.6667E-07
1.1342E-05 6.6667E-07
1.1614E-05 6.6667E-07
9.2393E-06 6.6667E-07
8.7033E-06 6.6667E-07
9.5470E-06 6.6667E-07
9.9878E-06 6.6667E-07
8.1247E-06 6.6667E-07
7.4101E-06 6.6667E-07
9.0210E-06 6.6667E-07
1.1780E-05 6.6667E-07
9.3465E-06 6.6667E-07
5.7949E-06 6.6667E-07
6.9279E-06 6.6667E-07
5.3144E-06 6.6667E-07
6.5579E-06 6.6667E-07
4.6100E-06 6.6667E-07
6.5104E-06 6.6667E-07
6.6883E-06 6.6667E-07
4.8487E-06 6.6667E-07
3.4032E-06 6.6667E-07
3.0446E-06 6.6667E-07
6.1908E-06 6.6667E-07
8.3806E-06 6.6667E-07
3.0838E-06 6.6667E-07
4.6712E-06 6.6667E-07
3.4413E-06 6.6667E-07
3.4547E-06 6.6667E-07
1.6928E-06 6.6667E-07
6.0304E-06 6.6667E-07
2.6026E-06 6.6667E-07
2.8228E-06 6.6667E-07
3.9881E-06 6.6667E-07
3.4923E-06 6.6667E-07
2.9178E-06 6.6667E-07
3.2158E-06 6.6667E-07
2.8618E-06 6.6667E-07
3.4836E-06 6.6667E-07
2.2180E-06 6.6667E-07
2.6943E-06 6.6667E-07
3.0781E-06 6.6667E-07
2.7824E-06 6.6667E-07
2.4636E-06 6.6667E-07
1.3453E-06 6.6667E-07
2.6839E-06 6.6667E-07
1.8277E-06 6.6667E-07
3.5053E-06 6.6667E-07
2.1572E-06 6.6667E-07
1.9680E-06 6.6667E-07
1.8084E-06 6.6667E-07
8.0298E-07 6.6667E-07
3.5571E-06 6.6667E-07
2.6282E-06 6.6667E-07
1.3698E-06 6.6667E-07
2.1062E-06 6.6667E-07
1.0094E-06 6.6667E-07
1.6557E-06 6.6667E-07
2.8856E-06 6.6667E-07
5.5541E-07 6.6667E-07
