Energy     Target
9.3473E-05 1.0000E-06
9.3610E-05 1.0000E-06
1.8728E-04 1.0000E-06
7.8089E-05 1.0000E-06
6.0180E-05 1.0000E-06
4.1468E-05 1.0000E-06
5.9624E-05 1.0000E-06
5.6469E-05 1.0000E-06
5.6027E-05 1.0000E-06
2.5756E-05 1.0000E-06
3.2773E-05 1.0000E-06
2.3477E-05 1.0000E-06
2.7727E-05 1.0000E-06
3.7651E-05 1.0000E-06
2.9837E-05 1.0000E-06
3.5722E-05 1.0000E-06
2.1341E-05 1.0000E-06
1.7475E-05 1.0000E-06
8.0156E-06 1.0000E-06
1.0591E-05 1.0000E-06
1.3147E-05 1.0000E-06
1.0012E-05 1.0000E-06
4.6508E-06 1.0000E-06
3.5019E-06 1.0000E-06
4.0670E-06 1.0000E-06
5.0491E-06 1.0000E-06
2.8167E-06 1.0000E-06
2.0696E-06 1.0000E-06
1.1120E-06 1.0000E-06
1.3043E-06 1.0000E-06
1.2490E-06 1.0000E-06
1.1901E-06 1.0000E-06
1.7857E-06 1.0000E-06
1.1452E-06 1.0000E-06
1.3398E-06 1.0000E-06
9.7781E-07 1.0000E-06
9.8732E-07 1.0000E-06
1.0671E-06 1.0000E-06
1.0245E-06 1.0000E-06
8.0428E-07 1.0000E-06
0.0000E+00 1.0000E-06
