Energy     Target
1.6175E-04 1.0000E-06
3.2301E-04 1.0000E-06
1.4675E-04 1.0000E-06
1.3943E-04 1.0000E-06
6.7378E-05 1.0000E-06
8.4794E-05 1.0000E-06
3.2322E-05 1.0000E-06
6.9915E-05 1.0000E-06
4.3657E-05 1.0000E-06
2.5255E-05 1.0000E-06
9.9389E-06 1.0000E-06
4.0008E-05 1.0000E-06
7.7301E-06 1.0000E-06
1.8403E-05 1.0000E-06
1.6005E-05 1.0000E-06
2.0130E-05 1.0000E-06
2.0272E-05 1.0000E-06
1.0003E-05 1.0000E-06
9.0687E-06 1.0000E-06
5.2497E-06 1.0000E-06
3.7700E-06 1.0000E-06
1.8090E-06 1.0000E-06
1.8579E-06 1.0000E-06
2.1259E-06 1.0000E-06
1.3499E-06 1.0000E-06
1.0995E-06 1.0000E-06
3.0972E-06 1.0000E-06
7.3988E-07 1.0000E-06
0.0000E+00 1.0000E-06
