Energy     Target
1.1791E-04 6.6667E-07
9.2825E-05 6.6667E-07
7.4905E-05 6.6667E-07
6.3885E-05 6.6667E-07
5.9449E-05 6.6667E-07
5.1994E-05 6.6667E-07
4.8736E-05 6.6667E-07
4.5891E-05 6.6667E-07
4.3475E-05 6.6667E-07
4.1750E-05 6.6667E-07
4.0185E-05 6.6667E-07
3.8598E-05 6.6667E-07
3.7146E-05 6.6667E-07
3.5975E-05 6.6667E-07
3.4497E-05 6.6667E-07
3.3514E-05 6.6667E-07
3.2367E-05 6.6667E-07
3.1162E-05 6.6667E-07
3.0408E-05 6.6667E-07
2.9172E-05 6.6667E-07
2.8517E-05 6.6667E-07
2.6685E-05 6.6667E-07
2.7471E-05 6.6667E-07
2.5960E-05 6.6667E-07
2.4284E-05 6.6667E-07
2.5387E-05 6.6667E-07
2.3794E-05 6.6667E-07
2.2362E-05 6.6667E-07
2.2052E-05 6.6667E-07
2.2173E-05 6.6667E-07
2.1116E-05 6.6667E-07
2.0697E-05 6.6667E-07
2.0185E-05 6.6667E-07
1.9720E-05 6.6667E-07
1.8975E-05 6.6667E-07
1.8794E-05 6.6667E-07
1.8065E-05 6.6667E-07
1.7805E-05 6.6667E-07
1.7202E-05 6.6667E-07
1.6780E-05 6.6667E-07
1.6737E-05 6.6667E-07
1.6167E-05 6.6667E-07
1.5841E-05 6.6667E-07
1.5508E-05 6.6667E-07
1.5115E-05 6.6667E-07
1.4828E-05 6.6667E-07
1.4618E-05 6.6667E-07
1.4126E-05 6.6667E-07
1.4318E-05 6.6667E-07
1.3684E-05 6.6667E-07
1.3544E-05 6.6667E-07
1.3272E-05 6.6667E-07
1.2910E-05 6.6667E-07
1.2791E-05 6.6667E-07
1.2711E-05 6.6667E-07
1.2333E-05 6.6667E-07
1.2135E-05 6.6667E-07
1.1944E-05 6.6667E-07
1.1936E-05 6.6667E-07
1.1515E-05 6.6667E-07
1.1580E-05 6.6667E-07
1.1165E-05 6.6667E-07
1.1322E-05 6.6667E-07
1.0778E-05 6.6667E-07
1.1108E-05 6.6667E-07
1.0515E-05 6.6667E-07
1.0519E-05 6.6667E-07
1.0283E-05 6.6667E-07
1.0120E-05 6.6667E-07
9.9380E-06 6.6667E-07
1.0206E-05 6.6667E-07
9.6697E-06 6.6667E-07
9.7594E-06 6.6667E-07
9.4488E-06 6.6667E-07
9.5576E-06 6.6667E-07
9.1911E-06 6.6667E-07
9.4144E-06 6.6667E-07
8.9218E-06 6.6667E-07
9.1767E-06 6.6667E-07
8.6685E-06 6.6667E-07
8.9804E-06 6.6667E-07
8.5206E-06 6.6667E-07
8.7377E-06 6.6667E-07
8.3902E-06 6.6667E-07
8.4900E-06 6.6667E-07
8.1926E-06 6.6667E-07
8.2627E-06 6.6667E-07
7.9457E-06 6.6667E-07
8.1055E-06 6.6667E-07
7.8222E-06 6.6667E-07
7.8688E-06 6.6667E-07
7.6964E-06 6.6667E-07
7.7051E-06 6.6667E-07
7.5280E-06 6.6667E-07
7.4363E-06 6.6667E-07
7.3314E-06 6.6667E-07
7.3418E-06 6.6667E-07
7.1697E-06 6.6667E-07
7.1903E-06 6.6667E-07
7.0293E-06 6.6667E-07
7.0325E-06 6.6667E-07
6.8441E-06 6.6667E-07
6.8847E-06 6.6667E-07
6.6864E-06 6.6667E-07
6.6764E-06 6.6667E-07
6.5827E-06 6.6667E-07
6.4891E-06 6.6667E-07
6.4065E-06 6.6667E-07
6.4890E-06 6.6667E-07
6.2631E-06 6.6667E-07
6.3025E-06 6.6667E-07
6.1546E-06 6.6667E-07
6.1111E-06 6.6667E-07
6.0401E-06 6.6667E-07
5.9966E-06 6.6667E-07
5.8392E-06 6.6667E-07
6.0133E-06 6.6667E-07
5.7276E-06 6.6667E-07
5.8169E-06 6.6667E-07
5.6563E-06 6.6667E-07
5.6275E-06 6.6667E-07
5.5544E-06 6.6667E-07
5.4442E-06 6.6667E-07
5.3742E-06 6.6667E-07
5.4191E-06 6.6667E-07
5.2603E-06 6.6667E-07
5.3461E-06 6.6667E-07
5.1878E-06 6.6667E-07
5.1511E-06 6.6667E-07
5.0751E-06 6.6667E-07
5.0907E-06 6.6667E-07
4.8963E-06 6.6667E-07
5.0018E-06 6.6667E-07
4.7736E-06 6.6667E-07
4.8696E-06 6.6667E-07
4.7225E-06 6.6667E-07
4.6829E-06 6.6667E-07
4.6435E-06 6.6667E-07
4.5899E-06 6.6667E-07
4.5241E-06 6.6667E-07
4.5096E-06 6.6667E-07
4.4413E-06 6.6667E-07
4.3615E-06 6.6667E-07
4.3539E-06 6.6667E-07
4.3069E-06 6.6667E-07
4.2586E-06 6.6667E-07
4.1916E-06 6.6667E-07
4.1734E-06 6.6667E-07
4.1051E-06 6.6667E-07
4.0842E-06 6.6667E-07
4.0232E-06 6.6667E-07
4.0011E-06 6.6667E-07
3.9230E-06 6.6667E-07
3.9089E-06 6.6667E-07
3.8446E-06 6.6667E-07
3.8219E-06 6.6667E-07
3.7337E-06 6.6667E-07
3.7547E-06 6.6667E-07
3.6135E-06 6.6667E-07
3.6727E-06 6.6667E-07
3.6375E-06 6.6667E-07
3.5702E-06 6.6667E-07
3.5419E-06 6.6667E-07
3.4887E-06 6.6667E-07
3.4164E-06 6.6667E-07
3.4386E-06 6.6667E-07
3.3313E-06 6.6667E-07
3.3566E-06 6.6667E-07
3.3234E-06 6.6667E-07
3.2727E-06 6.6667E-07
3.2299E-06 6.6667E-07
3.1999E-06 6.6667E-07
3.1589E-06 6.6667E-07
3.1470E-06 6.6667E-07
3.0356E-06 6.6667E-07
3.0691E-06 6.6667E-07
2.9791E-06 6.6667E-07
3.0004E-06 6.6667E-07
2.9521E-06 6.6667E-07
2.9330E-06 6.6667E-07
2.8703E-06 6.6667E-07
2.8741E-06 6.6667E-07
2.8266E-06 6.6667E-07
2.7966E-06 6.6667E-07
2.7347E-06 6.6667E-07
2.7235E-06 6.6667E-07
2.6695E-06 6.6667E-07
2.6695E-06 6.6667E-07
2.5939E-06 6.6667E-07
2.6242E-06 6.6667E-07
2.5332E-06 6.6667E-07
2.5677E-06 6.6667E-07
2.4866E-06 6.6667E-07
2.5137E-06 6.6667E-07
2.4382E-06 6.6667E-07
2.4713E-06 6.6667E-07
2.3778E-06 6.6667E-07
2.4216E-06 6.6667E-07
2.3337E-06 6.6667E-07
2.3719E-06 6.6667E-07
2.2812E-06 6.6667E-07
2.3181E-06 6.6667E-07
2.2239E-06 6.6667E-07
2.2629E-06 6.6667E-07
2.1785E-06 6.6667E-07
2.2077E-06 6.6667E-07
2.1269E-06 6.6667E-07
2.1625E-06 6.6667E-07
2.0820E-06 6.6667E-07
2.1058E-06 6.6667E-07
2.0378E-06 6.6667E-07
2.0503E-06 6.6667E-07
1.9828E-06 6.6667E-07
1.9968E-06 6.6667E-07
1.9220E-06 6.6667E-07
1.9169E-06 6.6667E-07
1.8582E-06 6.6667E-07
1.8491E-06 6.6667E-07
1.8133E-06 6.6667E-07
1.7753E-06 6.6667E-07
1.7764E-06 6.6667E-07
1.7524E-06 6.6667E-07
1.7315E-06 6.6667E-07
1.7120E-06 6.6667E-07
1.6897E-06 6.6667E-07
1.6513E-06 6.6667E-07
1.6523E-06 6.6667E-07
1.6111E-06 6.6667E-07
1.6194E-06 6.6667E-07
1.5676E-06 6.6667E-07
1.5721E-06 6.6667E-07
1.5584E-06 6.6667E-07
1.5276E-06 6.6667E-07
1.4940E-06 6.6667E-07
1.4868E-06 6.6667E-07
1.4748E-06 6.6667E-07
1.4677E-06 6.6667E-07
1.4382E-06 6.6667E-07
1.4341E-06 6.6667E-07
1.4341E-06 6.6667E-07
1.4008E-06 6.6667E-07
1.3706E-06 6.6667E-07
1.3728E-06 6.6667E-07
1.3884E-06 6.6667E-07
1.3432E-06 6.6667E-07
1.3429E-06 6.6667E-07
1.2995E-06 6.6667E-07
1.3014E-06 6.6667E-07
1.2720E-06 6.6667E-07
1.2887E-06 6.6667E-07
1.2620E-06 6.6667E-07
1.2653E-06 6.6667E-07
1.2556E-06 6.6667E-07
1.2367E-06 6.6667E-07
1.2313E-06 6.6667E-07
1.2199E-06 6.6667E-07
1.2033E-06 6.6667E-07
1.2257E-06 6.6667E-07
1.1783E-06 6.6667E-07
5.9069E-07 6.6667E-07
3.8025E-07 6.6667E-07
2.6796E-08 6.6667E-07
7.3460E-09 6.6667E-07
2.6550E-09 6.6667E-07
1.9588E-10 6.6667E-07
1.3711E-10 6.6667E-07
1.2710E-09 6.6667E-07
3.5436E-10 6.6667E-07
6.1050E-11 6.6667E-07
1.1858E-10 6.6667E-07
2.4431E-10 6.6667E-07
1.6610E-10 6.6667E-07
8.1400E-11 6.6667E-07
3.3310E-10 6.6667E-07
5.0655E-06 6.6667E-07
4.0835E-07 6.6667E-07
