Energy     Target
4.3658E-06 6.6667E-07
1.8437E-05 6.6667E-07
9.7140E-06 6.6667E-07
1.7682E-05 6.6667E-07
1.7588E-05 6.6667E-07
2.0787E-05 6.6667E-07
3.2996E-05 6.6667E-07
1.3241E-05 6.6667E-07
1.6464E-05 6.6667E-07
1.6673E-05 6.6667E-07
2.3444E-05 6.6667E-07
2.3159E-05 6.6667E-07
1.8790E-05 6.6667E-07
1.5778E-05 6.6667E-07
2.4718E-05 6.6667E-07
2.0435E-05 6.6667E-07
1.5645E-05 6.6667E-07
2.5420E-05 6.6667E-07
2.0200E-05 6.6667E-07
2.7941E-05 6.6667E-07
2.2874E-05 6.6667E-07
2.3245E-05 6.6667E-07
2.5961E-05 6.6667E-07
2.2909E-05 6.6667E-07
2.5928E-05 6.6667E-07
2.6895E-05 6.6667E-07
2.2448E-05 6.6667E-07
2.4407E-05 6.6667E-07
2.6950E-05 6.6667E-07
2.3743E-05 6.6667E-07
2.5088E-05 6.6667E-07
3.0000E-05 6.6667E-07
2.4864E-05 6.6667E-07
2.7703E-05 6.6667E-07
2.9655E-05 6.6667E-07
2.2404E-05 6.6667E-07
2.2127E-05 6.6667E-07
2.9844E-05 6.6667E-07
2.5272E-05 6.6667E-07
2.8900E-05 6.6667E-07
2.8457E-05 6.6667E-07
2.3350E-05 6.6667E-07
2.6110E-05 6.6667E-07
2.7289E-05 6.6667E-07
2.7480E-05 6.6667E-07
2.4883E-05 6.6667E-07
2.8898E-05 6.6667E-07
3.1338E-05 6.6667E-07
3.3613E-05 6.6667E-07
2.8647E-05 6.6667E-07
2.4135E-05 6.6667E-07
2.3095E-05 6.6667E-07
2.9105E-05 6.6667E-07
1.8782E-05 6.6667E-07
2.1831E-05 6.6667E-07
1.7572E-05 6.6667E-07
2.9709E-05 6.6667E-07
1.9224E-05 6.6667E-07
1.7887E-05 6.6667E-07
2.4477E-05 6.6667E-07
2.9601E-05 6.6667E-07
2.0618E-05 6.6667E-07
1.7780E-05 6.6667E-07
2.2483E-05 6.6667E-07
2.2057E-05 6.6667E-07
2.4184E-05 6.6667E-07
1.5757E-05 6.6667E-07
1.5224E-05 6.6667E-07
1.7319E-05 6.6667E-07
2.1441E-05 6.6667E-07
1.5089E-05 6.6667E-07
1.4198E-05 6.6667E-07
1.5664E-05 6.6667E-07
1.9560E-05 6.6667E-07
1.4341E-05 6.6667E-07
1.4937E-05 6.6667E-07
1.6050E-05 6.6667E-07
1.8452E-05 6.6667E-07
1.1017E-05 6.6667E-07
1.4748E-05 6.6667E-07
1.6053E-05 6.6667E-07
1.6589E-05 6.6667E-07
1.6907E-05 6.6667E-07
1.3646E-05 6.6667E-07
1.5763E-05 6.6667E-07
1.3872E-05 6.6667E-07
1.3804E-05 6.6667E-07
1.7424E-05 6.6667E-07
1.3148E-05 6.6667E-07
1.9572E-05 6.6667E-07
1.5891E-05 6.6667E-07
1.1718E-05 6.6667E-07
1.5302E-05 6.6667E-07
1.6096E-05 6.6667E-07
1.2943E-05 6.6667E-07
1.4605E-05 6.6667E-07
1.2938E-05 6.6667E-07
1.5943E-05 6.6667E-07
1.3311E-05 6.6667E-07
1.0412E-05 6.6667E-07
1.4187E-05 6.6667E-07
1.7792E-05 6.6667E-07
7.7432E-06 6.6667E-07
1.2356E-05 6.6667E-07
1.2067E-05 6.6667E-07
1.8385E-05 6.6667E-07
1.7888E-05 6.6667E-07
1.2886E-05 6.6667E-07
1.6231E-05 6.6667E-07
1.5500E-05 6.6667E-07
1.5398E-05 6.6667E-07
9.2669E-06 6.6667E-07
1.6883E-05 6.6667E-07
5.6313E-06 6.6667E-07
2.0299E-05 6.6667E-07
9.8440E-06 6.6667E-07
1.1265E-05 6.6667E-07
1.4451E-05 6.6667E-07
1.6484E-05 6.6667E-07
1.5513E-05 6.6667E-07
1.1226E-05 6.6667E-07
1.2479E-05 6.6667E-07
1.7457E-05 6.6667E-07
