Energy     Target
6.3854E-05 6.6667E-07
5.6119E-05 6.6667E-07
4.8482E-05 6.6667E-07
4.3627E-05 6.6667E-07
3.9420E-05 6.6667E-07
3.6627E-05 6.6667E-07
3.4182E-05 6.6667E-07
3.2345E-05 6.6667E-07
3.0732E-05 6.6667E-07
2.9376E-05 6.6667E-07
2.8197E-05 6.6667E-07
2.7095E-05 6.6667E-07
2.6444E-05 6.6667E-07
2.5679E-05 6.6667E-07
2.4952E-05 6.6667E-07
2.4310E-05 6.6667E-07
2.3665E-05 6.6667E-07
2.3273E-05 6.6667E-07
2.2549E-05 6.6667E-07
2.2190E-05 6.6667E-07
2.1721E-05 6.6667E-07
2.1061E-05 6.6667E-07
2.0890E-05 6.6667E-07
2.0285E-05 6.6667E-07
1.9949E-05 6.6667E-07
1.9593E-05 6.6667E-07
1.9163E-05 6.6667E-07
1.8841E-05 6.6667E-07
1.8501E-05 6.6667E-07
1.8162E-05 6.6667E-07
1.7811E-05 6.6667E-07
1.7588E-05 6.6667E-07
1.7211E-05 6.6667E-07
1.6942E-05 6.6667E-07
1.6728E-05 6.6667E-07
1.6398E-05 6.6667E-07
1.6154E-05 6.6667E-07
1.5946E-05 6.6667E-07
1.5640E-05 6.6667E-07
1.5451E-05 6.6667E-07
1.5232E-05 6.6667E-07
1.4978E-05 6.6667E-07
1.4788E-05 6.6667E-07
1.4550E-05 6.6667E-07
1.4359E-05 6.6667E-07
1.4165E-05 6.6667E-07
1.3968E-05 6.6667E-07
1.3782E-05 6.6667E-07
1.3585E-05 6.6667E-07
1.3451E-05 6.6667E-07
1.3234E-05 6.6667E-07
1.3103E-05 6.6667E-07
1.2934E-05 6.6667E-07
1.2757E-05 6.6667E-07
1.2621E-05 6.6667E-07
1.2448E-05 6.6667E-07
1.2301E-05 6.6667E-07
1.2170E-05 6.6667E-07
1.1990E-05 6.6667E-07
1.1896E-05 6.6667E-07
1.1722E-05 6.6667E-07
1.1564E-05 6.6667E-07
1.1507E-05 6.6667E-07
1.1284E-05 6.6667E-07
1.1205E-05 6.6667E-07
1.1111E-05 6.6667E-07
1.0820E-05 6.6667E-07
1.0887E-05 6.6667E-07
1.0622E-05 6.6667E-07
1.0585E-05 6.6667E-07
1.0477E-05 6.6667E-07
1.0331E-05 6.6667E-07
1.0212E-05 6.6667E-07
1.0149E-05 6.6667E-07
9.8422E-06 6.6667E-07
9.9244E-06 6.6667E-07
9.5842E-06 6.6667E-07
9.6819E-06 6.6667E-07
