Energy     Target
1.1539E-04 1.0000E-06
8.4587E-05 1.0000E-06
2.3344E-06 1.0000E-06
5.7772E-05 1.0000E-06
7.8633E-05 1.0000E-06
8.6218E-05 1.0000E-06
3.7610E-05 1.0000E-06
9.4213E-06 1.0000E-06
5.7689E-06 1.0000E-06
1.0700E-05 1.0000E-06
1.6342E-06 1.0000E-06
1.5409E-05 1.0000E-06
3.3162E-06 1.0000E-06
3.1173E-06 1.0000E-06
1.2375E-06 1.0000E-06
3.0230E-06 1.0000E-06
2.3943E-06 1.0000E-06
2.6321E-06 1.0000E-06
3.6622E-06 1.0000E-06
2.2599E-06 1.0000E-06
1.0550E-06 1.0000E-06
6.1194E-07 1.0000E-06
1.1645E-06 1.0000E-06
2.8105E-07 1.0000E-06
2.8502E-06 1.0000E-06
6.0554E-07 1.0000E-06
0.0000E+00 1.0000E-06
