Energy     Target
4.4840E-04 6.6667E-07
4.8964E-04 6.6667E-07
6.9699E-04 6.6667E-07
9.6869E-04 6.6667E-07
4.3016E-04 6.6667E-07
6.8960E-04 6.6667E-07
3.9437E-04 6.6667E-07
4.8100E-04 6.6667E-07
7.4252E-04 6.6667E-07
7.6080E-04 6.6667E-07
4.7900E-04 6.6667E-07
2.7161E-04 6.6667E-07
1.9534E-04 6.6667E-07
3.0752E-04 6.6667E-07
5.2202E-04 6.6667E-07
3.9282E-04 6.6667E-07
5.0494E-04 6.6667E-07
5.3414E-04 6.6667E-07
2.9869E-04 6.6667E-07
2.6438E-04 6.6667E-07
3.2440E-04 6.6667E-07
2.3465E-04 6.6667E-07
2.8417E-04 6.6667E-07
3.2983E-04 6.6667E-07
1.9186E-04 6.6667E-07
2.2566E-04 6.6667E-07
1.4233E-04 6.6667E-07
2.1511E-04 6.6667E-07
4.3739E-04 6.6667E-07
2.8884E-04 6.6667E-07
3.4918E-04 6.6667E-07
3.2478E-04 6.6667E-07
1.8877E-04 6.6667E-07
2.2060E-04 6.6667E-07
3.3602E-04 6.6667E-07
1.5314E-04 6.6667E-07
2.0408E-04 6.6667E-07
1.6601E-04 6.6667E-07
1.2041E-04 6.6667E-07
1.7339E-04 6.6667E-07
1.5777E-04 6.6667E-07
1.3953E-04 6.6667E-07
1.1003E-04 6.6667E-07
9.1137E-05 6.6667E-07
1.0441E-04 6.6667E-07
8.8912E-05 6.6667E-07
8.2908E-05 6.6667E-07
8.3606E-05 6.6667E-07
9.8450E-05 6.6667E-07
9.5420E-05 6.6667E-07
7.7910E-05 6.6667E-07
7.1503E-05 6.6667E-07
6.4025E-05 6.6667E-07
1.1862E-04 6.6667E-07
6.9032E-05 6.6667E-07
1.0188E-04 6.6667E-07
8.5829E-05 6.6667E-07
6.0288E-05 6.6667E-07
8.4676E-05 6.6667E-07
9.2266E-05 6.6667E-07
7.9300E-05 6.6667E-07
9.0101E-05 6.6667E-07
6.7534E-05 6.6667E-07
6.4153E-05 6.6667E-07
7.1131E-05 6.6667E-07
5.2276E-05 6.6667E-07
6.1177E-05 6.6667E-07
7.2156E-05 6.6667E-07
5.6307E-05 6.6667E-07
5.2555E-05 6.6667E-07
7.3358E-05 6.6667E-07
5.0410E-05 6.6667E-07
3.5109E-05 6.6667E-07
9.4117E-05 6.6667E-07
4.7860E-05 6.6667E-07
5.2567E-05 6.6667E-07
1.0112E-04 6.6667E-07
5.4921E-05 6.6667E-07
8.1354E-05 6.6667E-07
6.2020E-05 6.6667E-07
8.9545E-05 6.6667E-07
6.1471E-05 6.6667E-07
7.3107E-05 6.6667E-07
