Energy     Target
2.4199E-05 1.0000E-06
4.9881E-04 1.0000E-06
1.1360E-03 1.0000E-06
2.1624E-03 1.0000E-06
2.9201E-03 1.0000E-06
1.7636E-03 1.0000E-06
2.2167E-03 1.0000E-06
2.2481E-03 1.0000E-06
3.5481E-03 1.0000E-06
4.8758E-03 1.0000E-06
5.4469E-03 1.0000E-06
6.7353E-03 1.0000E-06
7.9974E-03 1.0000E-06
8.1317E-03 1.0000E-06
8.0044E-03 1.0000E-06
7.2623E-03 1.0000E-06
7.4013E-03 1.0000E-06
1.1440E-04 1.0000E-06
3.5474E-04 1.0000E-06
2.0545E-03 1.0000E-06
1.0036E-02 1.0000E-06
1.0670E-02 1.0000E-06
1.4447E-02 1.0000E-06
8.3089E-03 1.0000E-06
2.8082E-03 1.0000E-06
6.0253E-03 1.0000E-06
2.2470E-03 1.0000E-06
2.7724E-03 1.0000E-06
1.5356E-03 1.0000E-06
1.8074E-03 1.0000E-06
1.2997E-03 1.0000E-06
1.3874E-03 1.0000E-06
1.0774E-03 1.0000E-06
1.0828E-03 1.0000E-06
8.8307E-04 1.0000E-06
9.8331E-05 1.0000E-06
1.8426E-04 1.0000E-06
8.2464E-05 1.0000E-06
7.5664E-05 1.0000E-06
7.4725E-05 1.0000E-06
1.0547E-06 1.0000E-06
8.8611E-05 1.0000E-06
1.1011E-04 1.0000E-06
2.8031E-04 1.0000E-06
2.2952E-04 1.0000E-06
3.4979E-04 1.0000E-06
2.6137E-04 1.0000E-06
1.9953E-04 1.0000E-06
1.3461E-04 1.0000E-06
1.7956E-04 1.0000E-06
1.9206E-04 1.0000E-06
1.6797E-04 1.0000E-06
1.5068E-04 1.0000E-06
7.3158E-05 1.0000E-06
6.7106E-05 1.0000E-06
1.0729E-04 1.0000E-06
1.0529E-04 1.0000E-06
9.2643E-05 1.0000E-06
8.2104E-05 1.0000E-06
4.5193E-05 1.0000E-06
3.9902E-05 1.0000E-06
2.5061E-05 1.0000E-06
6.9193E-06 1.0000E-06
2.1179E-05 1.0000E-06
2.6264E-05 1.0000E-06
2.2068E-05 1.0000E-06
2.2971E-05 1.0000E-06
2.2415E-05 1.0000E-06
1.6240E-05 1.0000E-06
2.2599E-05 1.0000E-06
1.1390E-05 1.0000E-06
1.9333E-05 1.0000E-06
1.6962E-05 1.0000E-06
8.1847E-06 1.0000E-06
6.8937E-06 1.0000E-06
1.3918E-05 1.0000E-06
7.3470E-06 1.0000E-06
8.0206E-06 1.0000E-06
6.0029E-06 1.0000E-06
3.6690E-06 1.0000E-06
1.6923E-06 1.0000E-06
4.0908E-06 1.0000E-06
3.3819E-06 1.0000E-06
3.8178E-06 1.0000E-06
2.3570E-06 1.0000E-06
2.0336E-06 1.0000E-06
1.1095E-06 1.0000E-06
8.6094E-07 1.0000E-06
0.0000E+00 1.0000E-06
