Energy     Target
4.1096E-03 6.6667E-07
1.8987E-02 6.6667E-07
1.9813E-03 6.6667E-07
2.0684E-03 6.6667E-07
1.1551E-03 6.6667E-07
8.6966E-04 6.6667E-07
3.8473E-04 6.6667E-07
4.2393E-04 6.6667E-07
2.4022E-04 6.6667E-07
3.6497E-04 6.6667E-07
1.6898E-04 6.6667E-07
2.1974E-04 6.6667E-07
2.9008E-04 6.6667E-07
1.3905E-04 6.6667E-07
1.5885E-04 6.6667E-07
9.1466E-05 6.6667E-07
1.1847E-04 6.6667E-07
1.5846E-04 6.6667E-07
1.7284E-04 6.6667E-07
9.4363E-05 6.6667E-07
1.2193E-04 6.6667E-07
8.3021E-05 6.6667E-07
9.5329E-05 6.6667E-07
1.0726E-04 6.6667E-07
4.1709E-05 6.6667E-07
4.5570E-05 6.6667E-07
9.4655E-05 6.6667E-07
2.5445E-05 6.6667E-07
3.3507E-05 6.6667E-07
5.8358E-05 6.6667E-07
5.3080E-05 6.6667E-07
1.1528E-04 6.6667E-07
3.0989E-04 6.6667E-07
1.6273E-04 6.6667E-07
4.4207E-04 6.6667E-07
6.0135E-04 6.6667E-07
1.0506E-03 6.6667E-07
8.6498E-04 6.6667E-07
2.6968E-04 6.6667E-07
6.4295E-04 6.6667E-07
6.7419E-04 6.6667E-07
3.9593E-04 6.6667E-07
3.1568E-04 6.6667E-07
2.8672E-04 6.6667E-07
2.2081E-04 6.6667E-07
1.9766E-04 6.6667E-07
1.0734E-04 6.6667E-07
9.3216E-05 6.6667E-07
1.0207E-04 6.6667E-07
5.6365E-05 6.6667E-07
5.2978E-05 6.6667E-07
3.6863E-05 6.6667E-07
3.0588E-05 6.6667E-07
3.9361E-05 6.6667E-07
3.8343E-05 6.6667E-07
4.1017E-05 6.6667E-07
3.0753E-05 6.6667E-07
2.4930E-05 6.6667E-07
2.6061E-05 6.6667E-07
3.3434E-05 6.6667E-07
3.4066E-05 6.6667E-07
3.5737E-05 6.6667E-07
2.9052E-05 6.6667E-07
1.3750E-05 6.6667E-07
1.7377E-05 6.6667E-07
2.4500E-05 6.6667E-07
1.5679E-05 6.6667E-07
1.1107E-05 6.6667E-07
1.8470E-05 6.6667E-07
1.1937E-05 6.6667E-07
1.4323E-05 6.6667E-07
1.4906E-05 6.6667E-07
9.8714E-06 6.6667E-07
1.0469E-05 6.6667E-07
1.4898E-05 6.6667E-07
8.1443E-06 6.6667E-07
8.0628E-06 6.6667E-07
1.0309E-05 6.6667E-07
8.8070E-06 6.6667E-07
1.1382E-05 6.6667E-07
7.5675E-06 6.6667E-07
8.7163E-06 6.6667E-07
6.5112E-06 6.6667E-07
7.9770E-06 6.6667E-07
7.7126E-06 6.6667E-07
8.6043E-06 6.6667E-07
5.6704E-06 6.6667E-07
6.2813E-06 6.6667E-07
7.4268E-06 6.6667E-07
8.7343E-06 6.6667E-07
8.2404E-06 6.6667E-07
6.1939E-06 6.6667E-07
5.1374E-06 6.6667E-07
5.3584E-06 6.6667E-07
5.9229E-06 6.6667E-07
5.5445E-06 6.6667E-07
6.1570E-06 6.6667E-07
5.7547E-06 6.6667E-07
6.0083E-06 6.6667E-07
6.3210E-06 6.6667E-07
5.8496E-06 6.6667E-07
6.1304E-06 6.6667E-07
4.9604E-06 6.6667E-07
5.9458E-06 6.6667E-07
4.8165E-06 6.6667E-07
4.9796E-06 6.6667E-07
4.6690E-06 6.6667E-07
3.6551E-06 6.6667E-07
3.8791E-06 6.6667E-07
4.4764E-06 6.6667E-07
3.7502E-06 6.6667E-07
3.7378E-06 6.6667E-07
3.3551E-06 6.6667E-07
4.2618E-06 6.6667E-07
3.4068E-06 6.6667E-07
2.7616E-06 6.6667E-07
2.0896E-06 6.6667E-07
3.0320E-06 6.6667E-07
4.5451E-06 6.6667E-07
1.9175E-06 6.6667E-07
2.0829E-06 6.6667E-07
3.3116E-06 6.6667E-07
4.1837E-06 6.6667E-07
2.6636E-06 6.6667E-07
2.2970E-06 6.6667E-07
2.1587E-06 6.6667E-07
1.3242E-06 6.6667E-07
3.4785E-06 6.6667E-07
4.1563E-06 6.6667E-07
2.4322E-06 6.6667E-07
2.5376E-06 6.6667E-07
2.3112E-06 6.6667E-07
1.4944E-06 6.6667E-07
2.0662E-06 6.6667E-07
3.3854E-06 6.6667E-07
2.9084E-06 6.6667E-07
2.6362E-06 6.6667E-07
1.1346E-06 6.6667E-07
2.6649E-06 6.6667E-07
2.5296E-06 6.6667E-07
2.0734E-06 6.6667E-07
1.5544E-06 6.6667E-07
2.9227E-06 6.6667E-07
1.5100E-06 6.6667E-07
1.7776E-06 6.6667E-07
1.0808E-07 6.6667E-07
3.7799E-06 6.6667E-07
2.3487E-06 6.6667E-07
2.0387E-06 6.6667E-07
1.1831E-06 6.6667E-07
1.1681E-06 6.6667E-07
2.1645E-06 6.6667E-07
2.0747E-06 6.6667E-07
1.3381E-06 6.6667E-07
1.3147E-06 6.6667E-07
1.3947E-06 6.6667E-07
2.5289E-06 6.6667E-07
1.3036E-06 6.6667E-07
1.1312E-06 6.6667E-07
1.2661E-06 6.6667E-07
1.1224E-06 6.6667E-07
2.6587E-06 6.6667E-07
2.7241E-07 6.6667E-07
2.9331E-06 6.6667E-07
3.4376E-07 6.6667E-07
3.0212E-06 6.6667E-07
7.4713E-07 6.6667E-07
1.7977E-06 6.6667E-07
2.4695E-06 6.6667E-07
2.5059E-07 6.6667E-07
2.3110E-06 6.6667E-07
1.2308E-06 6.6667E-07
1.6571E-06 6.6667E-07
1.0807E-06 6.6667E-07
5.7086E-07 6.6667E-07
1.4543E-06 6.6667E-07
1.9499E-06 6.6667E-07
1.0823E-06 6.6667E-07
1.1098E-06 6.6667E-07
1.4445E-06 6.6667E-07
7.2739E-07 6.6667E-07
1.3757E-06 6.6667E-07
1.1090E-06 6.6667E-07
1.0661E-06 6.6667E-07
8.3467E-07 6.6667E-07
2.1270E-06 6.6667E-07
1.9207E-07 6.6667E-07
1.8251E-06 6.6667E-07
1.2934E-06 6.6667E-07
8.7916E-07 6.6667E-07
1.6511E-06 6.6667E-07
1.3701E-06 6.6667E-07
8.2458E-07 6.6667E-07
1.8460E-06 6.6667E-07
6.3413E-07 6.6667E-07
1.5004E-06 6.6667E-07
1.3509E-06 6.6667E-07
9.8055E-07 6.6667E-07
1.4188E-06 6.6667E-07
1.5701E-06 6.6667E-07
9.2392E-07 6.6667E-07
1.4147E-06 6.6667E-07
1.0106E-06 6.6667E-07
1.5864E-06 6.6667E-07
6.0614E-07 6.6667E-07
1.6207E-06 6.6667E-07
1.3075E-06 6.6667E-07
1.0911E-06 6.6667E-07
1.7420E-06 6.6667E-07
1.4790E-06 6.6667E-07
9.6627E-07 6.6667E-07
1.2496E-06 6.6667E-07
2.2112E-06 6.6667E-07
7.9940E-07 6.6667E-07
1.9496E-06 6.6667E-07
2.2999E-06 6.6667E-07
1.4695E-06 6.6667E-07
