Energy     Target
4.3274E-03 6.6667E-07
2.0286E-02 6.6667E-07
1.9937E-03 6.6667E-07
1.9920E-03 6.6667E-07
1.0784E-03 6.6667E-07
7.2981E-04 6.6667E-07
2.9260E-04 6.6667E-07
3.8359E-04 6.6667E-07
2.9321E-04 6.6667E-07
3.0523E-04 6.6667E-07
1.9842E-04 6.6667E-07
2.6173E-04 6.6667E-07
1.5474E-04 6.6667E-07
2.2063E-04 6.6667E-07
1.4134E-04 6.6667E-07
1.1805E-04 6.6667E-07
2.5244E-04 6.6667E-07
9.0348E-05 6.6667E-07
2.4303E-04 6.6667E-07
1.2419E-04 6.6667E-07
1.3301E-04 6.6667E-07
2.0160E-04 6.6667E-07
5.4302E-05 6.6667E-07
1.5070E-04 6.6667E-07
4.6987E-05 6.6667E-07
7.1602E-05 6.6667E-07
9.9467E-05 6.6667E-07
4.4253E-05 6.6667E-07
6.3613E-05 6.6667E-07
2.4877E-05 6.6667E-07
4.0244E-05 6.6667E-07
5.2742E-05 6.6667E-07
6.7565E-05 6.6667E-07
4.3722E-05 6.6667E-07
3.9217E-05 6.6667E-07
2.3986E-05 6.6667E-07
3.3064E-05 6.6667E-07
2.0634E-05 6.6667E-07
1.7505E-05 6.6667E-07
3.4925E-05 6.6667E-07
1.2346E-05 6.6667E-07
3.2338E-05 6.6667E-07
1.0101E-05 6.6667E-07
1.1073E-05 6.6667E-07
2.2860E-05 6.6667E-07
2.9752E-05 6.6667E-07
3.0534E-05 6.6667E-07
2.7226E-05 6.6667E-07
2.0285E-05 6.6667E-07
3.2176E-05 6.6667E-07
2.4306E-04 6.6667E-07
1.8662E-04 6.6667E-07
6.2413E-05 6.6667E-07
2.2842E-04 6.6667E-07
4.0618E-04 6.6667E-07
3.8364E-04 6.6667E-07
1.0076E-03 6.6667E-07
3.0907E-04 6.6667E-07
1.4679E-03 6.6667E-07
5.3985E-04 6.6667E-07
6.1094E-04 6.6667E-07
8.2426E-04 6.6667E-07
2.9683E-04 6.6667E-07
5.0309E-04 6.6667E-07
1.6537E-04 6.6667E-07
2.1260E-04 6.6667E-07
1.8739E-04 6.6667E-07
1.4258E-04 6.6667E-07
8.7062E-05 6.6667E-07
1.3574E-04 6.6667E-07
6.0851E-05 6.6667E-07
6.2183E-05 6.6667E-07
4.0050E-05 6.6667E-07
4.6093E-05 6.6667E-07
7.1674E-05 6.6667E-07
4.0421E-05 6.6667E-07
4.2937E-05 6.6667E-07
2.4350E-05 6.6667E-07
2.6499E-05 6.6667E-07
2.6493E-05 6.6667E-07
3.9481E-05 6.6667E-07
1.8838E-05 6.6667E-07
1.8624E-05 6.6667E-07
2.4640E-05 6.6667E-07
2.4653E-05 6.6667E-07
1.9767E-05 6.6667E-07
1.4515E-05 6.6667E-07
1.2163E-05 6.6667E-07
1.8942E-05 6.6667E-07
1.5702E-05 6.6667E-07
1.5246E-05 6.6667E-07
1.0589E-05 6.6667E-07
1.4389E-05 6.6667E-07
1.0915E-05 6.6667E-07
9.6963E-06 6.6667E-07
1.3723E-05 6.6667E-07
8.8650E-06 6.6667E-07
1.1191E-05 6.6667E-07
1.1906E-05 6.6667E-07
6.8072E-06 6.6667E-07
5.5510E-06 6.6667E-07
6.8910E-06 6.6667E-07
6.1032E-06 6.6667E-07
1.0744E-05 6.6667E-07
8.1704E-06 6.6667E-07
7.0846E-06 6.6667E-07
5.5814E-06 6.6667E-07
5.8343E-06 6.6667E-07
6.9342E-06 6.6667E-07
7.8983E-06 6.6667E-07
5.0790E-06 6.6667E-07
5.1149E-06 6.6667E-07
4.9653E-06 6.6667E-07
5.6115E-06 6.6667E-07
4.2548E-06 6.6667E-07
4.0992E-06 6.6667E-07
3.8377E-06 6.6667E-07
5.8952E-06 6.6667E-07
4.0841E-06 6.6667E-07
3.9670E-06 6.6667E-07
4.7664E-06 6.6667E-07
5.2501E-06 6.6667E-07
4.2507E-06 6.6667E-07
3.6969E-06 6.6667E-07
4.0764E-06 6.6667E-07
4.3066E-06 6.6667E-07
3.5921E-06 6.6667E-07
3.0513E-06 6.6667E-07
3.7767E-06 6.6667E-07
4.0110E-06 6.6667E-07
4.1495E-06 6.6667E-07
3.3002E-06 6.6667E-07
3.7073E-06 6.6667E-07
4.2311E-06 6.6667E-07
3.4351E-06 6.6667E-07
3.4223E-06 6.6667E-07
3.2682E-06 6.6667E-07
3.4413E-06 6.6667E-07
2.9651E-06 6.6667E-07
2.7383E-06 6.6667E-07
3.1139E-06 6.6667E-07
3.3087E-06 6.6667E-07
3.0666E-06 6.6667E-07
2.7411E-06 6.6667E-07
2.4818E-06 6.6667E-07
2.5536E-06 6.6667E-07
2.3009E-06 6.6667E-07
2.0144E-06 6.6667E-07
2.3236E-06 6.6667E-07
2.1078E-06 6.6667E-07
1.9309E-06 6.6667E-07
2.7282E-06 6.6667E-07
1.0924E-06 6.6667E-07
1.8814E-06 6.6667E-07
2.9736E-06 6.6667E-07
2.0819E-06 6.6667E-07
2.3269E-06 6.6667E-07
1.8758E-06 6.6667E-07
2.4550E-06 6.6667E-07
2.7929E-06 6.6667E-07
1.8377E-06 6.6667E-07
2.0471E-06 6.6667E-07
2.0771E-06 6.6667E-07
9.0945E-07 6.6667E-07
2.1288E-06 6.6667E-07
1.7774E-06 6.6667E-07
1.8183E-06 6.6667E-07
9.3402E-07 6.6667E-07
2.8508E-06 6.6667E-07
3.7672E-07 6.6667E-07
3.1002E-06 6.6667E-07
9.1297E-07 6.6667E-07
2.3260E-06 6.6667E-07
1.6179E-06 6.6667E-07
1.2912E-06 6.6667E-07
1.4616E-06 6.6667E-07
1.7398E-06 6.6667E-07
1.1363E-06 6.6667E-07
1.3935E-06 6.6667E-07
5.1955E-07 6.6667E-07
9.1122E-07 6.6667E-07
2.4313E-06 6.6667E-07
8.3150E-07 6.6667E-07
1.5973E-06 6.6667E-07
2.0148E-07 6.6667E-07
2.2453E-06 6.6667E-07
1.5419E-06 6.6667E-07
5.2812E-07 6.6667E-07
1.5507E-06 6.6667E-07
2.1952E-06 6.6667E-07
6.1051E-07 6.6667E-07
1.3131E-06 6.6667E-07
1.0527E-06 6.6667E-07
9.6892E-07 6.6667E-07
1.8050E-06 6.6667E-07
1.7752E-06 6.6667E-07
1.4541E-07 6.6667E-07
1.7659E-06 6.6667E-07
1.5170E-06 6.6667E-07
4.2732E-07 6.6667E-07
1.0832E-06 6.6667E-07
9.1259E-07 6.6667E-07
2.7051E-07 6.6667E-07
2.1543E-06 6.6667E-07
1.4928E-06 6.6667E-07
4.8880E-07 6.6667E-07
1.4166E-06 6.6667E-07
1.9364E-06 6.6667E-07
5.2091E-07 6.6667E-07
1.0416E-06 6.6667E-07
1.0238E-06 6.6667E-07
4.0290E-07 6.6667E-07
1.4484E-06 6.6667E-07
1.5202E-06 6.6667E-07
2.7602E-07 6.6667E-07
1.4205E-06 6.6667E-07
1.5352E-06 6.6667E-07
6.6122E-08 6.6667E-07
2.1538E-06 6.6667E-07
3.6505E-07 6.6667E-07
1.0071E-06 6.6667E-07
1.4291E-06 6.6667E-07
6.9053E-07 6.6667E-07
8.6594E-07 6.6667E-07
1.9977E-07 6.6667E-07
1.7598E-06 6.6667E-07
7.1580E-07 6.6667E-07
1.0172E-06 6.6667E-07
5.3805E-07 6.6667E-07
1.4539E-06 6.6667E-07
9.4338E-07 6.6667E-07
3.4283E-07 6.6667E-07
1.0970E-06 6.6667E-07
1.2192E-06 6.6667E-07
3.0746E-08 6.6667E-07
1.8390E-06 6.6667E-07
1.4034E-07 6.6667E-07
1.4913E-06 6.6667E-07
6.0129E-07 6.6667E-07
9.2841E-07 6.6667E-07
1.1096E-06 6.6667E-07
1.3375E-06 6.6667E-07
1.1973E-07 6.6667E-07
1.6835E-06 6.6667E-07
8.6230E-07 6.6667E-07
1.4316E-06 6.6667E-07
6.3213E-07 6.6667E-07
