Energy     Target
7.3876E-05 1.0000E-06
6.5406E-05 1.0000E-06
1.0611E-04 1.0000E-06
5.8774E-05 1.0000E-06
5.4272E-05 1.0000E-06
6.8965E-05 1.0000E-06
5.3956E-05 1.0000E-06
7.8555E-05 1.0000E-06
4.0403E-05 1.0000E-06
1.0780E-05 1.0000E-06
9.8935E-06 1.0000E-06
1.4088E-05 1.0000E-06
2.0358E-05 1.0000E-06
2.0992E-05 1.0000E-06
1.8892E-05 1.0000E-06
2.1698E-05 1.0000E-06
9.1567E-06 1.0000E-06
8.9375E-06 1.0000E-06
2.8677E-06 1.0000E-06
2.0563E-06 1.0000E-06
2.4486E-06 1.0000E-06
2.2153E-06 1.0000E-06
2.7138E-06 1.0000E-06
2.1613E-06 1.0000E-06
1.8872E-06 1.0000E-06
1.3284E-06 1.0000E-06
3.2401E-06 1.0000E-06
3.0132E-07 1.0000E-06
0.0000E+00 1.0000E-06
