Energy     Target
8.7480E-04 6.6667E-07
1.9138E-03 6.6667E-07
1.3303E-03 6.6667E-07
2.6885E-03 6.6667E-07
9.5452E-04 6.6667E-07
7.5948E-04 6.6667E-07
2.3684E-04 6.6667E-07
1.7352E-04 6.6667E-07
4.8942E-04 6.6667E-07
3.1629E-04 6.6667E-07
3.4278E-04 6.6667E-07
2.1588E-04 6.6667E-07
1.4674E-04 6.6667E-07
2.0620E-04 6.6667E-07
2.5129E-04 6.6667E-07
1.2374E-04 6.6667E-07
2.3305E-04 6.6667E-07
1.1214E-04 6.6667E-07
1.8777E-04 6.6667E-07
1.0718E-04 6.6667E-07
8.0720E-05 6.6667E-07
1.5045E-04 6.6667E-07
8.5508E-05 6.6667E-07
1.5539E-04 6.6667E-07
7.6990E-05 6.6667E-07
7.7690E-05 6.6667E-07
1.0545E-04 6.6667E-07
1.0535E-04 6.6667E-07
6.7674E-05 6.6667E-07
9.6980E-05 6.6667E-07
6.5365E-05 6.6667E-07
7.7249E-05 6.6667E-07
9.4759E-05 6.6667E-07
4.3892E-05 6.6667E-07
6.4652E-05 6.6667E-07
4.7971E-05 6.6667E-07
1.1845E-04 6.6667E-07
3.7479E-05 6.6667E-07
7.0928E-05 6.6667E-07
1.8082E-05 6.6667E-07
7.6323E-05 6.6667E-07
3.7303E-05 6.6667E-07
4.3071E-05 6.6667E-07
5.7890E-05 6.6667E-07
4.2362E-05 6.6667E-07
5.9312E-05 6.6667E-07
4.3703E-05 6.6667E-07
4.2902E-05 6.6667E-07
3.8623E-05 6.6667E-07
4.4531E-05 6.6667E-07
4.4921E-05 6.6667E-07
3.6910E-05 6.6667E-07
3.2137E-05 6.6667E-07
5.9528E-05 6.6667E-07
2.4308E-05 6.6667E-07
3.4166E-05 6.6667E-07
3.5934E-05 6.6667E-07
4.4840E-05 6.6667E-07
3.7731E-05 6.6667E-07
3.0110E-05 6.6667E-07
3.0908E-05 6.6667E-07
3.5181E-05 6.6667E-07
3.0183E-05 6.6667E-07
3.3432E-05 6.6667E-07
1.9975E-05 6.6667E-07
4.0176E-05 6.6667E-07
1.3631E-05 6.6667E-07
3.0876E-05 6.6667E-07
2.2111E-05 6.6667E-07
2.3694E-05 6.6667E-07
3.2509E-05 6.6667E-07
2.0794E-05 6.6667E-07
3.4964E-05 6.6667E-07
2.1094E-05 6.6667E-07
2.3390E-05 6.6667E-07
2.8572E-05 6.6667E-07
3.8642E-05 6.6667E-07
2.5336E-05 6.6667E-07
2.5336E-05 6.6667E-07
4.3812E-04 6.6667E-07
2.2459E-05 6.6667E-07
2.8548E-05 6.6667E-07
4.2043E-05 6.6667E-07
2.4586E-05 6.6667E-07
2.6155E-05 6.6667E-07
4.9805E-05 6.6667E-07
3.0308E-05 6.6667E-07
2.5446E-05 6.6667E-07
5.5406E-05 6.6667E-07
3.0325E-05 6.6667E-07
3.0440E-05 6.6667E-07
5.4406E-05 6.6667E-07
3.6062E-05 6.6667E-07
5.5770E-05 6.6667E-07
6.9826E-05 6.6667E-07
4.7014E-05 6.6667E-07
4.2685E-05 6.6667E-07
6.6060E-05 6.6667E-07
5.6668E-05 6.6667E-07
1.1538E-04 6.6667E-07
6.9596E-05 6.6667E-07
9.8416E-05 6.6667E-07
1.0462E-04 6.6667E-07
1.0683E-04 6.6667E-07
9.1628E-05 6.6667E-07
7.9020E-05 6.6667E-07
1.4271E-04 6.6667E-07
9.6617E-05 6.6667E-07
1.3955E-04 6.6667E-07
1.4867E-04 6.6667E-07
1.8515E-04 6.6667E-07
1.7715E-04 6.6667E-07
1.3857E-04 6.6667E-07
1.9110E-05 6.6667E-07
2.2414E-04 6.6667E-07
1.0725E-04 6.6667E-07
1.3445E-04 6.6667E-07
1.8591E-04 6.6667E-07
1.6431E-04 6.6667E-07
1.4322E-04 6.6667E-07
1.1853E-04 6.6667E-07
1.0223E-04 6.6667E-07
1.3591E-04 6.6667E-07
9.8168E-05 6.6667E-07
9.7422E-05 6.6667E-07
1.0174E-04 6.6667E-07
6.6100E-05 6.6667E-07
9.3554E-05 6.6667E-07
5.1601E-05 6.6667E-07
5.6381E-05 6.6667E-07
7.1042E-05 6.6667E-07
6.9409E-05 6.6667E-07
7.1469E-05 6.6667E-07
5.5457E-05 6.6667E-07
7.6490E-05 6.6667E-07
5.3261E-05 6.6667E-07
5.2714E-05 6.6667E-07
5.6365E-05 6.6667E-07
5.5895E-05 6.6667E-07
5.1076E-05 6.6667E-07
5.6353E-05 6.6667E-07
4.3849E-05 6.6667E-07
4.7962E-05 6.6667E-07
3.2918E-05 6.6667E-07
7.0593E-05 6.6667E-07
3.3299E-05 6.6667E-07
4.1076E-05 6.6667E-07
4.1826E-05 6.6667E-07
5.1179E-05 6.6667E-07
3.7077E-05 6.6667E-07
3.6829E-05 6.6667E-07
3.2391E-05 6.6667E-07
3.5519E-05 6.6667E-07
3.6348E-05 6.6667E-07
2.5464E-05 6.6667E-07
3.5185E-05 6.6667E-07
2.5326E-05 6.6667E-07
3.5466E-05 6.6667E-07
1.8725E-05 6.6667E-07
2.5782E-05 6.6667E-07
1.3471E-05 6.6667E-07
3.0162E-05 6.6667E-07
1.8699E-05 6.6667E-07
1.9593E-05 6.6667E-07
2.2479E-05 6.6667E-07
2.7966E-05 6.6667E-07
2.1785E-05 6.6667E-07
2.3982E-05 6.6667E-07
1.8519E-05 6.6667E-07
2.0883E-05 6.6667E-07
2.8766E-05 6.6667E-07
1.6463E-05 6.6667E-07
2.1073E-05 6.6667E-07
3.1130E-05 6.6667E-07
1.8358E-05 6.6667E-07
1.9880E-05 6.6667E-07
2.9962E-05 6.6667E-07
1.7138E-05 6.6667E-07
1.6268E-05 6.6667E-07
2.2674E-05 6.6667E-07
1.7517E-05 6.6667E-07
1.5107E-05 6.6667E-07
2.9522E-05 6.6667E-07
1.5309E-05 6.6667E-07
1.7258E-05 6.6667E-07
1.3596E-05 6.6667E-07
2.1839E-05 6.6667E-07
1.9996E-05 6.6667E-07
1.3738E-05 6.6667E-07
1.8071E-05 6.6667E-07
2.2135E-05 6.6667E-07
1.5475E-05 6.6667E-07
1.7187E-05 6.6667E-07
1.8325E-05 6.6667E-07
1.9708E-05 6.6667E-07
2.2778E-05 6.6667E-07
1.3782E-05 6.6667E-07
1.5168E-05 6.6667E-07
2.5054E-05 6.6667E-07
1.8847E-05 6.6667E-07
1.3250E-05 6.6667E-07
2.4155E-05 6.6667E-07
1.5975E-05 6.6667E-07
2.0613E-05 6.6667E-07
2.2298E-05 6.6667E-07
1.4781E-05 6.6667E-07
1.6773E-05 6.6667E-07
2.3154E-05 6.6667E-07
1.7781E-05 6.6667E-07
1.5970E-05 6.6667E-07
2.3691E-05 6.6667E-07
1.5624E-05 6.6667E-07
2.0992E-05 6.6667E-07
2.0062E-05 6.6667E-07
1.9808E-05 6.6667E-07
1.4899E-05 6.6667E-07
1.8631E-05 6.6667E-07
1.5860E-05 6.6667E-07
2.0471E-05 6.6667E-07
2.3922E-05 6.6667E-07
1.7916E-05 6.6667E-07
1.9159E-05 6.6667E-07
3.0488E-05 6.6667E-07
1.8383E-05 6.6667E-07
2.0067E-05 6.6667E-07
3.3612E-05 6.6667E-07
1.5712E-05 6.6667E-07
2.7959E-05 6.6667E-07
2.3277E-05 6.6667E-07
3.2216E-05 6.6667E-07
4.1893E-05 6.6667E-07
4.9807E-05 6.6667E-07
5.4694E-05 6.6667E-07
6.3874E-05 6.6667E-07
6.7201E-05 6.6667E-07
4.4668E-05 6.6667E-07
9.7423E-05 6.6667E-07
7.3214E-05 6.6667E-07
9.4702E-05 6.6667E-07
1.0219E-04 6.6667E-07
1.2292E-04 6.6667E-07
7.4727E-05 6.6667E-07
4.7767E-05 6.6667E-07
1.0666E-04 6.6667E-07
7.7403E-05 6.6667E-07
9.7399E-05 6.6667E-07
1.0882E-04 6.6667E-07
1.1489E-04 6.6667E-07
6.3983E-05 6.6667E-07
7.6929E-05 6.6667E-07
7.7275E-05 6.6667E-07
8.8789E-05 6.6667E-07
5.7642E-05 6.6667E-07
5.0960E-05 6.6667E-07
5.3563E-05 6.6667E-07
4.7213E-05 6.6667E-07
4.0015E-05 6.6667E-07
3.8138E-05 6.6667E-07
3.3481E-05 6.6667E-07
3.6265E-05 6.6667E-07
3.0688E-05 6.6667E-07
2.9637E-05 6.6667E-07
2.5218E-05 6.6667E-07
2.5468E-05 6.6667E-07
2.4703E-05 6.6667E-07
1.8839E-05 6.6667E-07
2.0393E-05 6.6667E-07
2.1486E-05 6.6667E-07
1.6491E-05 6.6667E-07
1.3319E-05 6.6667E-07
2.1205E-05 6.6667E-07
1.0333E-05 6.6667E-07
1.2101E-05 6.6667E-07
1.5196E-05 6.6667E-07
1.0938E-05 6.6667E-07
9.6857E-06 6.6667E-07
1.7541E-05 6.6667E-07
7.8229E-06 6.6667E-07
1.1270E-05 6.6667E-07
9.7207E-06 6.6667E-07
1.2956E-05 6.6667E-07
9.2339E-06 6.6667E-07
9.0115E-06 6.6667E-07
8.1953E-06 6.6667E-07
1.1231E-05 6.6667E-07
7.6238E-06 6.6667E-07
7.1582E-06 6.6667E-07
7.4212E-06 6.6667E-07
1.0585E-05 6.6667E-07
6.7787E-06 6.6667E-07
6.8620E-06 6.6667E-07
5.0504E-06 6.6667E-07
9.6525E-06 6.6667E-07
4.9239E-06 6.6667E-07
4.1089E-06 6.6667E-07
7.2589E-06 6.6667E-07
7.2111E-06 6.6667E-07
4.7370E-06 6.6667E-07
5.1892E-06 6.6667E-07
5.1644E-06 6.6667E-07
4.1276E-06 6.6667E-07
6.0363E-06 6.6667E-07
4.4824E-06 6.6667E-07
4.5572E-06 6.6667E-07
3.9259E-06 6.6667E-07
5.8959E-06 6.6667E-07
2.4416E-06 6.6667E-07
4.7716E-06 6.6667E-07
1.5919E-06 6.6667E-07
5.6834E-06 6.6667E-07
2.9783E-06 6.6667E-07
2.3572E-06 6.6667E-07
4.0117E-06 6.6667E-07
3.1301E-06 6.6667E-07
4.5536E-06 6.6667E-07
3.7830E-06 6.6667E-07
2.9798E-06 6.6667E-07
5.1195E-06 6.6667E-07
1.8672E-06 6.6667E-07
4.2817E-06 6.6667E-07
3.1473E-06 6.6667E-07
2.5145E-06 6.6667E-07
3.6297E-06 6.6667E-07
2.3143E-06 6.6667E-07
3.9013E-06 6.6667E-07
3.8058E-06 6.6667E-07
3.8058E-06 6.6667E-07
4.3675E-04 6.6667E-07
2.4614E-06 6.6667E-07
3.5375E-06 6.6667E-07
1.3663E-06 6.6667E-07
3.9587E-06 6.6667E-07
2.1838E-06 6.6667E-07
4.2522E-06 6.6667E-07
2.1560E-06 6.6667E-07
1.9849E-06 6.6667E-07
2.8682E-06 6.6667E-07
1.9202E-06 6.6667E-07
2.9639E-06 6.6667E-07
3.0645E-06 6.6667E-07
1.7558E-06 6.6667E-07
2.5125E-06 6.6667E-07
3.3919E-06 6.6667E-07
1.0014E-06 6.6667E-07
3.2368E-06 6.6667E-07
1.6770E-06 6.6667E-07
2.2221E-06 6.6667E-07
2.6598E-06 6.6667E-07
1.3784E-06 6.6667E-07
2.3866E-06 6.6667E-07
2.8049E-06 6.6667E-07
1.0049E-06 6.6667E-07
2.9366E-06 6.6667E-07
1.8933E-06 6.6667E-07
1.4981E-06 6.6667E-07
2.5311E-06 6.6667E-07
1.0713E-06 6.6667E-07
2.4865E-06 6.6667E-07
2.3001E-06 6.6667E-07
8.0605E-07 6.6667E-07
2.5406E-06 6.6667E-07
3.0610E-06 6.6667E-07
2.4694E-07 6.6667E-07
2.1550E-06 6.6667E-07
2.1940E-06 6.6667E-07
1.1321E-06 6.6667E-07
2.0282E-06 6.6667E-07
1.7696E-06 6.6667E-07
2.6053E-06 6.6667E-07
1.6121E-06 6.6667E-07
1.9792E-06 6.6667E-07
2.3303E-06 6.6667E-07
2.7544E-06 6.6667E-07
1.0082E-06 6.6667E-07
3.0036E-06 6.6667E-07
3.1230E-06 6.6667E-07
2.2250E-06 6.6667E-07
1.7271E-06 6.6667E-07
3.0195E-06 6.6667E-07
8.1420E-07 6.6667E-07
2.9460E-06 6.6667E-07
3.7614E-06 6.6667E-07
1.9820E-06 6.6667E-07
3.3754E-06 6.6667E-07
4.7294E-07 6.6667E-07
3.7590E-06 6.6667E-07
1.3661E-06 6.6667E-07
2.1565E-06 6.6667E-07
3.2740E-06 6.6667E-07
2.8907E-06 6.6667E-07
3.5581E-06 6.6667E-07
5.7141E-06 6.6667E-07
2.7219E-06 6.6667E-07
4.3342E-06 6.6667E-07
2.8064E-06 6.6667E-07
6.5330E-06 6.6667E-07
4.2334E-06 6.6667E-07
5.2833E-06 6.6667E-07
7.0659E-06 6.6667E-07
8.1350E-06 6.6667E-07
3.6560E-06 6.6667E-07
1.2280E-05 6.6667E-07
9.1481E-06 6.6667E-07
8.2660E-06 6.6667E-07
1.0900E-05 6.6667E-07
2.3158E-05 6.6667E-07
1.9070E-05 6.6667E-07
1.5167E-05 6.6667E-07
1.4224E-05 6.6667E-07
2.2565E-05 6.6667E-07
1.7732E-05 6.6667E-07
2.2393E-05 6.6667E-07
3.5132E-05 6.6667E-07
4.5437E-05 6.6667E-07
3.8234E-05 6.6667E-07
3.8752E-05 6.6667E-07
3.6638E-05 6.6667E-07
3.9905E-05 6.6667E-07
4.5568E-05 6.6667E-07
5.5308E-05 6.6667E-07
4.4310E-05 6.6667E-07
5.0001E-05 6.6667E-07
6.4020E-05 6.6667E-07
4.1823E-05 6.6667E-07
8.1870E-05 6.6667E-07
3.3513E-05 6.6667E-07
5.4200E-05 6.6667E-07
6.0124E-05 6.6667E-07
5.1101E-05 6.6667E-07
5.1725E-05 6.6667E-07
5.4256E-05 6.6667E-07
5.5246E-05 6.6667E-07
4.4647E-05 6.6667E-07
1.4326E-05 6.6667E-07
5.9252E-05 6.6667E-07
3.6323E-05 6.6667E-07
5.5403E-05 6.6667E-07
4.3329E-05 6.6667E-07
4.7971E-05 6.6667E-07
4.1474E-05 6.6667E-07
2.6326E-05 6.6667E-07
4.1553E-05 6.6667E-07
2.8680E-05 6.6667E-07
3.6888E-05 6.6667E-07
2.1397E-05 6.6667E-07
2.5103E-05 6.6667E-07
1.6835E-05 6.6667E-07
4.4778E-05 6.6667E-07
1.7808E-05 6.6667E-07
1.4748E-05 6.6667E-07
2.1941E-05 6.6667E-07
2.8393E-05 6.6667E-07
2.3833E-05 6.6667E-07
2.4827E-05 6.6667E-07
2.5485E-05 6.6667E-07
1.9037E-05 6.6667E-07
2.4636E-05 6.6667E-07
1.4671E-05 6.6667E-07
2.5456E-05 6.6667E-07
1.9433E-05 6.6667E-07
1.7873E-05 6.6667E-07
2.6110E-05 6.6667E-07
2.1189E-05 6.6667E-07
2.4219E-05 6.6667E-07
1.6969E-05 6.6667E-07
1.7383E-05 6.6667E-07
2.6309E-05 6.6667E-07
2.6172E-05 6.6667E-07
2.6167E-05 6.6667E-07
2.3693E-05 6.6667E-07
3.2073E-05 6.6667E-07
3.4102E-05 6.6667E-07
2.2584E-05 6.6667E-07
3.2450E-05 6.6667E-07
3.0120E-05 6.6667E-07
3.5432E-05 6.6667E-07
3.2893E-05 6.6667E-07
2.7146E-05 6.6667E-07
2.5918E-05 6.6667E-07
5.7698E-05 6.6667E-07
3.7234E-05 6.6667E-07
8.2771E-05 6.6667E-07
3.9791E-05 6.6667E-07
7.3883E-05 6.6667E-07
2.4380E-05 6.6667E-07
6.6871E-05 6.6667E-07
5.1481E-05 6.6667E-07
9.0085E-05 6.6667E-07
1.0381E-04 6.6667E-07
1.0578E-04 6.6667E-07
6.0171E-05 6.6667E-07
9.1886E-05 6.6667E-07
6.5558E-05 6.6667E-07
1.5441E-04 6.6667E-07
1.1072E-04 6.6667E-07
1.3255E-04 6.6667E-07
1.0628E-04 6.6667E-07
8.1405E-05 6.6667E-07
6.0024E-05 6.6667E-07
9.4631E-05 6.6667E-07
7.3132E-05 6.6667E-07
6.8837E-05 6.6667E-07
7.9544E-05 6.6667E-07
7.7647E-05 6.6667E-07
5.7041E-05 6.6667E-07
6.5301E-05 6.6667E-07
5.4021E-05 6.6667E-07
5.6603E-05 6.6667E-07
4.9831E-05 6.6667E-07
3.3476E-05 6.6667E-07
4.4480E-05 6.6667E-07
3.8481E-05 6.6667E-07
3.6943E-05 6.6667E-07
2.2177E-05 6.6667E-07
3.7269E-05 6.6667E-07
1.0002E-05 6.6667E-07
3.4864E-05 6.6667E-07
1.9275E-05 6.6667E-07
2.1347E-05 6.6667E-07
2.3726E-05 6.6667E-07
2.6481E-05 6.6667E-07
2.3157E-05 6.6667E-07
1.9133E-05 6.6667E-07
2.3082E-05 6.6667E-07
2.0628E-05 6.6667E-07
1.7836E-05 6.6667E-07
1.5895E-05 6.6667E-07
1.8204E-05 6.6667E-07
2.0011E-05 6.6667E-07
1.2456E-05 6.6667E-07
1.7546E-05 6.6667E-07
1.2234E-05 6.6667E-07
1.5434E-05 6.6667E-07
1.4475E-05 6.6667E-07
9.8016E-06 6.6667E-07
1.1699E-05 6.6667E-07
1.7542E-05 6.6667E-07
8.9674E-06 6.6667E-07
1.1576E-05 6.6667E-07
9.8159E-06 6.6667E-07
1.4157E-05 6.6667E-07
8.4898E-06 6.6667E-07
7.7339E-06 6.6667E-07
1.2943E-05 6.6667E-07
1.1774E-05 6.6667E-07
8.7200E-06 6.6667E-07
7.4948E-06 6.6667E-07
7.6060E-06 6.6667E-07
1.3132E-05 6.6667E-07
1.0075E-05 6.6667E-07
6.6963E-06 6.6667E-07
8.2467E-06 6.6667E-07
6.4961E-06 6.6667E-07
1.0348E-05 6.6667E-07
9.4205E-06 6.6667E-07
6.3981E-06 6.6667E-07
1.0067E-05 6.6667E-07
5.7622E-06 6.6667E-07
1.4169E-05 6.6667E-07
6.7448E-06 6.6667E-07
8.9049E-06 6.6667E-07
7.0579E-06 6.6667E-07
1.3086E-05 6.6667E-07
7.8408E-06 6.6667E-07
8.4737E-06 6.6667E-07
1.0090E-05 6.6667E-07
1.1422E-05 6.6667E-07
8.9670E-06 6.6667E-07
1.2656E-05 6.6667E-07
1.2167E-05 6.6667E-07
1.0829E-05 6.6667E-07
1.4539E-05 6.6667E-07
1.1327E-05 6.6667E-07
7.6806E-06 6.6667E-07
