Energy     Target
1.7465E-04 1.0000E-06
2.1743E-04 1.0000E-06
9.1827E-05 1.0000E-06
1.1879E-04 1.0000E-06
1.5211E-04 1.0000E-06
1.0649E-04 1.0000E-06
9.4736E-05 1.0000E-06
2.5325E-05 1.0000E-06
2.8632E-05 1.0000E-06
9.3103E-06 1.0000E-06
2.0297E-05 1.0000E-06
1.5302E-05 1.0000E-06
2.1318E-05 1.0000E-06
1.3232E-05 1.0000E-06
1.5237E-05 1.0000E-06
2.0266E-05 1.0000E-06
1.7452E-05 1.0000E-06
1.5689E-05 1.0000E-06
1.0610E-05 1.0000E-06
3.7772E-06 1.0000E-06
3.8692E-06 1.0000E-06
2.2533E-06 1.0000E-06
1.2952E-06 1.0000E-06
1.6608E-06 1.0000E-06
1.2980E-06 1.0000E-06
1.0824E-06 1.0000E-06
5.6890E-07 1.0000E-06
0.0000E+00 1.0000E-06
