Energy     Target
1.1010E-04 6.6667E-07
8.3745E-05 6.6667E-07
6.3877E-05 6.6667E-07
5.0929E-05 6.6667E-07
4.2343E-05 6.6667E-07
3.6937E-05 6.6667E-07
3.3238E-05 6.6667E-07
3.0598E-05 6.6667E-07
2.8631E-05 6.6667E-07
2.7001E-05 6.6667E-07
2.5574E-05 6.6667E-07
2.4325E-05 6.6667E-07
2.3726E-05 6.6667E-07
2.2312E-05 6.6667E-07
2.1686E-05 6.6667E-07
2.0663E-05 6.6667E-07
2.0002E-05 6.6667E-07
1.9272E-05 6.6667E-07
1.8429E-05 6.6667E-07
1.8000E-05 6.6667E-07
1.7159E-05 6.6667E-07
1.6763E-05 6.6667E-07
1.6157E-05 6.6667E-07
1.5517E-05 6.6667E-07
1.5283E-05 6.6667E-07
1.4513E-05 6.6667E-07
1.4361E-05 6.6667E-07
1.3786E-05 6.6667E-07
1.3354E-05 6.6667E-07
1.2965E-05 6.6667E-07
1.2646E-05 6.6667E-07
1.2127E-05 6.6667E-07
1.1885E-05 6.6667E-07
1.1403E-05 6.6667E-07
1.1362E-05 6.6667E-07
1.0648E-05 6.6667E-07
1.1186E-05 6.6667E-07
1.0004E-05 6.6667E-07
1.0692E-05 6.6667E-07
9.6417E-06 6.6667E-07
9.9438E-06 6.6667E-07
9.2424E-06 6.6667E-07
9.5965E-06 6.6667E-07
8.7729E-06 6.6667E-07
9.3173E-06 6.6667E-07
8.2847E-06 6.6667E-07
9.0632E-06 6.6667E-07
8.0615E-06 6.6667E-07
8.5411E-06 6.6667E-07
7.8765E-06 6.6667E-07
8.0439E-06 6.6667E-07
7.6008E-06 6.6667E-07
7.7524E-06 6.6667E-07
7.3358E-06 6.6667E-07
7.4268E-06 6.6667E-07
6.9025E-06 6.6667E-07
7.4963E-06 6.6667E-07
6.7039E-06 6.6667E-07
7.0951E-06 6.6667E-07
6.5942E-06 6.6667E-07
6.7669E-06 6.6667E-07
6.3893E-06 6.6667E-07
6.4669E-06 6.6667E-07
6.1478E-06 6.6667E-07
6.3070E-06 6.6667E-07
5.9424E-06 6.6667E-07
6.0900E-06 6.6667E-07
5.8016E-06 6.6667E-07
5.9048E-06 6.6667E-07
5.6368E-06 6.6667E-07
5.6419E-06 6.6667E-07
5.4769E-06 6.6667E-07
5.4569E-06 6.6667E-07
5.3115E-06 6.6667E-07
5.2767E-06 6.6667E-07
5.1018E-06 6.6667E-07
5.2161E-06 6.6667E-07
4.9155E-06 6.6667E-07
5.0376E-06 6.6667E-07
4.8080E-06 6.6667E-07
4.8106E-06 6.6667E-07
4.6387E-06 6.6667E-07
4.6635E-06 6.6667E-07
4.5156E-06 6.6667E-07
4.4965E-06 6.6667E-07
4.3492E-06 6.6667E-07
4.4277E-06 6.6667E-07
4.2288E-06 6.6667E-07
4.1677E-06 6.6667E-07
4.0579E-06 6.6667E-07
4.1539E-06 6.6667E-07
3.9422E-06 6.6667E-07
3.9672E-06 6.6667E-07
3.8492E-06 6.6667E-07
3.8339E-06 6.6667E-07
3.7142E-06 6.6667E-07
3.7190E-06 6.6667E-07
3.5846E-06 6.6667E-07
3.6038E-06 6.6667E-07
3.4931E-06 6.6667E-07
3.5082E-06 6.6667E-07
3.3968E-06 6.6667E-07
3.4236E-06 6.6667E-07
3.2858E-06 6.6667E-07
3.2803E-06 6.6667E-07
3.1831E-06 6.6667E-07
3.1591E-06 6.6667E-07
3.0636E-06 6.6667E-07
3.1337E-06 6.6667E-07
2.9665E-06 6.6667E-07
3.0529E-06 6.6667E-07
2.9048E-06 6.6667E-07
2.9367E-06 6.6667E-07
2.8061E-06 6.6667E-07
2.8109E-06 6.6667E-07
2.7156E-06 6.6667E-07
2.7453E-06 6.6667E-07
2.6296E-06 6.6667E-07
2.6471E-06 6.6667E-07
2.5727E-06 6.6667E-07
2.5608E-06 6.6667E-07
2.5034E-06 6.6667E-07
2.4602E-06 6.6667E-07
2.4318E-06 6.6667E-07
2.3616E-06 6.6667E-07
2.3375E-06 6.6667E-07
2.3270E-06 6.6667E-07
2.2502E-06 6.6667E-07
2.2717E-06 6.6667E-07
2.1801E-06 6.6667E-07
2.1569E-06 6.6667E-07
2.1381E-06 6.6667E-07
2.0761E-06 6.6667E-07
2.0684E-06 6.6667E-07
2.0464E-06 6.6667E-07
1.9916E-06 6.6667E-07
1.9509E-06 6.6667E-07
1.9217E-06 6.6667E-07
1.9000E-06 6.6667E-07
1.8730E-06 6.6667E-07
1.8302E-06 6.6667E-07
1.8170E-06 6.6667E-07
1.7976E-06 6.6667E-07
1.7534E-06 6.6667E-07
1.7082E-06 6.6667E-07
1.6898E-06 6.6667E-07
1.6673E-06 6.6667E-07
1.6398E-06 6.6667E-07
1.6176E-06 6.6667E-07
1.5926E-06 6.6667E-07
1.5831E-06 6.6667E-07
1.5474E-06 6.6667E-07
1.5205E-06 6.6667E-07
1.5158E-06 6.6667E-07
1.4593E-06 6.6667E-07
1.4677E-06 6.6667E-07
1.4208E-06 6.6667E-07
1.4150E-06 6.6667E-07
1.3879E-06 6.6667E-07
1.3656E-06 6.6667E-07
1.3432E-06 6.6667E-07
1.3217E-06 6.6667E-07
1.3006E-06 6.6667E-07
1.2923E-06 6.6667E-07
1.2520E-06 6.6667E-07
1.2569E-06 6.6667E-07
1.2057E-06 6.6667E-07
1.2117E-06 6.6667E-07
1.1899E-06 6.6667E-07
1.1628E-06 6.6667E-07
1.1564E-06 6.6667E-07
1.1367E-06 6.6667E-07
1.1212E-06 6.6667E-07
1.1143E-06 6.6667E-07
1.0804E-06 6.6667E-07
1.0900E-06 6.6667E-07
1.0463E-06 6.6667E-07
1.0566E-06 6.6667E-07
1.0236E-06 6.6667E-07
1.0229E-06 6.6667E-07
1.0073E-06 6.6667E-07
9.9896E-07 6.6667E-07
9.7591E-07 6.6667E-07
9.8180E-07 6.6667E-07
9.4370E-07 6.6667E-07
9.5436E-07 6.6667E-07
9.2892E-07 6.6667E-07
9.3094E-07 6.6667E-07
9.1035E-07 6.6667E-07
9.1095E-07 6.6667E-07
8.9101E-07 6.6667E-07
8.9780E-07 6.6667E-07
8.7907E-07 6.6667E-07
8.8121E-07 6.6667E-07
8.6636E-07 6.6667E-07
8.5958E-07 6.6667E-07
8.4961E-07 6.6667E-07
8.4031E-07 6.6667E-07
8.3137E-07 6.6667E-07
8.2925E-07 6.6667E-07
8.1961E-07 6.6667E-07
8.2061E-07 6.6667E-07
8.2676E-07 6.6667E-07
8.0833E-07 6.6667E-07
8.2285E-07 6.6667E-07
8.0039E-07 6.6667E-07
8.0742E-07 6.6667E-07
7.9585E-07 6.6667E-07
7.9360E-07 6.6667E-07
7.8408E-07 6.6667E-07
8.0723E-07 6.6667E-07
