Energy     Target
2.2054E-04 3.3333E-07
1.9306E-05 3.3333E-07
8.2908E-06 3.3333E-07
3.4098E-06 3.3333E-07
2.9970E-06 3.3333E-07
1.4182E-06 3.3333E-07
2.0682E-06 3.3333E-07
1.6953E-06 3.3333E-07
8.2726E-07 3.3333E-07
1.3011E-06 3.3333E-07
1.4065E-06 3.3333E-07
4.6518E-07 3.3333E-07
1.5905E-06 3.3333E-07
9.5932E-07 3.3333E-07
2.3678E-07 3.3333E-07
1.0182E-06 3.3333E-07
1.9809E-06 3.3333E-07
1.7562E-07 3.3333E-07
1.6593E-06 3.3333E-07
8.4878E-07 3.3333E-07
9.1325E-07 3.3333E-07
1.0499E-06 3.3333E-07
1.6357E-06 3.3333E-07
2.4207E-07 3.3333E-07
1.5304E-06 3.3333E-07
1.1677E-06 3.3333E-07
4.2216E-07 3.3333E-07
1.2533E-06 3.3333E-07
1.2303E-06 3.3333E-07
4.4628E-08 3.3333E-07
1.6567E-06 3.3333E-07
1.1404E-06 3.3333E-07
3.2990E-07 3.3333E-07
1.0582E-06 3.3333E-07
1.4419E-06 3.3333E-07
5.5671E-07 3.3333E-07
1.1728E-06 3.3333E-07
7.9607E-07 3.3333E-07
1.2100E-06 3.3333E-07
9.2704E-08 3.3333E-07
1.9089E-06 3.3333E-07
4.9658E-07 3.3333E-07
1.4054E-06 3.3333E-07
7.6576E-07 3.3333E-07
6.0307E-07 3.3333E-07
1.1368E-06 3.3333E-07
2.0462E-07 3.3333E-07
4.5607E-07 3.3333E-07
1.4684E-06 3.3333E-07
4.9142E-07 3.3333E-07
8.6120E-07 3.3333E-07
4.7909E-07 3.3333E-07
1.0403E-06 3.3333E-07
3.7099E-07 3.3333E-07
7.3625E-07 3.3333E-07
7.5212E-07 3.3333E-07
3.1825E-07 3.3333E-07
1.2362E-06 3.3333E-07
3.1393E-07 3.3333E-07
1.0127E-06 3.3333E-07
9.0342E-07 3.3333E-07
7.8741E-07 3.3333E-07
6.1339E-07 3.3333E-07
7.3562E-07 3.3333E-07
3.1584E-07 3.3333E-07
8.5385E-07 3.3333E-07
2.3952E-07 3.3333E-07
1.5016E-06 3.3333E-07
5.3827E-07 3.3333E-07
6.5873E-07 3.3333E-07
2.3929E-07 3.3333E-07
1.4913E-06 3.3333E-07
8.9938E-08 3.3333E-07
1.1913E-06 3.3333E-07
5.6726E-07 3.3333E-07
6.0332E-07 3.3333E-07
4.4418E-07 3.3333E-07
6.7188E-07 3.3333E-07
3.2702E-07 3.3333E-07
1.0791E-06 3.3333E-07
2.9728E-07 3.3333E-07
6.7742E-07 3.3333E-07
9.0771E-07 3.3333E-07
5.1923E-07 3.3333E-07
1.2778E-07 3.3333E-07
1.0802E-06 3.3333E-07
6.5228E-07 3.3333E-07
9.5384E-08 3.3333E-07
8.8073E-07 3.3333E-07
1.1769E-07 3.3333E-07
1.0714E-06 3.3333E-07
1.6087E-07 3.3333E-07
6.9139E-07 3.3333E-07
5.7378E-07 3.3333E-07
1.4709E-07 3.3333E-07
6.0828E-07 3.3333E-07
6.3434E-07 3.3333E-07
1.3117E-08 3.3333E-07
1.0032E-06 3.3333E-07
9.3385E-09 3.3333E-07
6.7099E-07 3.3333E-07
2.5262E-07 3.3333E-07
4.7111E-07 3.3333E-07
4.1034E-07 3.3333E-07
6.9102E-07 3.3333E-07
2.5057E-09 3.3333E-07
1.0044E-06 3.3333E-07
1.4867E-07 3.3333E-07
6.4308E-07 3.3333E-07
2.4931E-07 3.3333E-07
5.8510E-07 3.3333E-07
3.7761E-07 3.3333E-07
1.1107E-06 3.3333E-07
1.7849E-07 3.3333E-07
3.1370E-07 3.3333E-07
6.1534E-07 3.3333E-07
2.2142E-07 3.3333E-07
6.4531E-07 3.3333E-07
2.9224E-07 3.3333E-07
4.8896E-07 3.3333E-07
5.1558E-07 3.3333E-07
5.2975E-07 3.3333E-07
2.2581E-08 3.3333E-07
5.8438E-07 3.3333E-07
3.8554E-07 3.3333E-07
2.8392E-07 3.3333E-07
