Energy     Target
8.1835E-05 1.0000E-06
7.7110E-05 1.0000E-06
8.6709E-05 1.0000E-06
3.6510E-05 1.0000E-06
5.4389E-05 1.0000E-06
6.9201E-05 1.0000E-06
1.7818E-05 1.0000E-06
1.5780E-05 1.0000E-06
8.9275E-06 1.0000E-06
1.0572E-05 1.0000E-06
6.6561E-06 1.0000E-06
7.5143E-06 1.0000E-06
4.9679E-06 1.0000E-06
8.2168E-06 1.0000E-06
6.5672E-06 1.0000E-06
1.2120E-05 1.0000E-06
6.2072E-06 1.0000E-06
4.8506E-06 1.0000E-06
5.5199E-06 1.0000E-06
3.4375E-06 1.0000E-06
3.3933E-06 1.0000E-06
2.4685E-06 1.0000E-06
1.7495E-06 1.0000E-06
1.9036E-06 1.0000E-06
1.6767E-06 1.0000E-06
1.5104E-06 1.0000E-06
1.3504E-06 1.0000E-06
1.7832E-06 1.0000E-06
2.1118E-06 1.0000E-06
1.4045E-06 1.0000E-06
1.0530E-06 1.0000E-06
1.0510E-06 1.0000E-06
1.0284E-06 1.0000E-06
1.2806E-06 1.0000E-06
1.2350E-06 1.0000E-06
9.1292E-07 1.0000E-06
1.0186E-06 1.0000E-06
6.6370E-07 1.0000E-06
1.0802E-06 1.0000E-06
4.0900E-07 1.0000E-06
0.0000E+00 1.0000E-06
