Energy     Target
2.3154E-04 6.6667E-07
3.2643E-04 6.6667E-07
4.8522E-05 6.6667E-07
1.1122E-04 6.6667E-07
3.7242E-05 6.6667E-07
5.1061E-05 6.6667E-07
2.8280E-05 6.6667E-07
3.4919E-05 6.6667E-07
3.0537E-05 6.6667E-07
1.9814E-05 6.6667E-07
3.0593E-05 6.6667E-07
9.8705E-07 6.6667E-07
1.3050E-05 6.6667E-07
4.9366E-06 6.6667E-07
6.0625E-06 6.6667E-07
6.2975E-06 6.6667E-07
7.0441E-06 6.6667E-07
4.4452E-06 6.6667E-07
4.2750E-06 6.6667E-07
3.2005E-06 6.6667E-07
4.1286E-06 6.6667E-07
2.9312E-06 6.6667E-07
2.7509E-06 6.6667E-07
1.7886E-06 6.6667E-07
4.4233E-07 6.6667E-07
1.5680E-06 6.6667E-07
5.6187E-07 6.6667E-07
