Energy     Target
4.3227E-03 6.6667E-07
2.0951E-02 6.6667E-07
2.1420E-03 6.6667E-07
1.9805E-03 6.6667E-07
1.1041E-03 6.6667E-07
8.2421E-04 6.6667E-07
3.4921E-04 6.6667E-07
3.4406E-04 6.6667E-07
1.8912E-04 6.6667E-07
3.0074E-04 6.6667E-07
1.2180E-04 6.6667E-07
1.7489E-04 6.6667E-07
2.1771E-04 6.6667E-07
1.2371E-04 6.6667E-07
1.6074E-04 6.6667E-07
8.3834E-05 6.6667E-07
1.1476E-04 6.6667E-07
1.1714E-04 6.6667E-07
1.7942E-04 6.6667E-07
8.9966E-05 6.6667E-07
1.0258E-04 6.6667E-07
1.2000E-04 6.6667E-07
1.1792E-04 6.6667E-07
8.8908E-05 6.6667E-07
6.1906E-05 6.6667E-07
4.8374E-05 6.6667E-07
6.2489E-05 6.6667E-07
2.9692E-05 6.6667E-07
2.1560E-05 6.6667E-07
2.3662E-05 6.6667E-07
3.4778E-05 6.6667E-07
3.6346E-05 6.6667E-07
4.3069E-05 6.6667E-07
3.4652E-05 6.6667E-07
3.1103E-05 6.6667E-07
1.9410E-05 6.6667E-07
2.7535E-05 6.6667E-07
1.4062E-05 6.6667E-07
1.7699E-05 6.6667E-07
2.7711E-05 6.6667E-07
1.0837E-05 6.6667E-07
3.0403E-05 6.6667E-07
9.9053E-06 6.6667E-07
1.4299E-05 6.6667E-07
2.2787E-05 6.6667E-07
2.2172E-05 6.6667E-07
2.8644E-05 6.6667E-07
1.4385E-05 6.6667E-07
1.1670E-05 6.6667E-07
1.4047E-05 6.6667E-07
1.6493E-05 6.6667E-07
1.3725E-05 6.6667E-07
1.0910E-05 6.6667E-07
1.1522E-05 6.6667E-07
1.2410E-05 6.6667E-07
1.6756E-05 6.6667E-07
9.4795E-06 6.6667E-07
1.0953E-05 6.6667E-07
1.9493E-05 6.6667E-07
1.1192E-05 6.6667E-07
1.5323E-05 6.6667E-07
8.3357E-06 6.6667E-07
1.0837E-05 6.6667E-07
7.5984E-06 6.6667E-07
8.4789E-06 6.6667E-07
6.3834E-06 6.6667E-07
9.5610E-06 6.6667E-07
5.7978E-06 6.6667E-07
6.5739E-06 6.6667E-07
9.7897E-06 6.6667E-07
9.7219E-06 6.6667E-07
6.2627E-06 6.6667E-07
5.5116E-06 6.6667E-07
5.2093E-06 6.6667E-07
4.9077E-06 6.6667E-07
7.7149E-06 6.6667E-07
5.2660E-06 6.6667E-07
4.1384E-06 6.6667E-07
5.6231E-06 6.6667E-07
5.1145E-06 6.6667E-07
5.7355E-06 6.6667E-07
5.0545E-06 6.6667E-07
7.5086E-06 6.6667E-07
4.0638E-06 6.6667E-07
4.7538E-06 6.6667E-07
4.3425E-06 6.6667E-07
6.0404E-06 6.6667E-07
3.3937E-06 6.6667E-07
3.9719E-06 6.6667E-07
4.5281E-06 6.6667E-07
4.3513E-06 6.6667E-07
4.4692E-06 6.6667E-07
4.9234E-06 6.6667E-07
3.6264E-06 6.6667E-07
4.1787E-06 6.6667E-07
3.8338E-06 6.6667E-07
3.1669E-06 6.6667E-07
2.2242E-06 6.6667E-07
3.1697E-06 6.6667E-07
3.0959E-06 6.6667E-07
4.1297E-06 6.6667E-07
1.1372E-06 6.6667E-07
1.6285E-06 6.6667E-07
4.4463E-06 6.6667E-07
2.0117E-06 6.6667E-07
4.6688E-06 6.6667E-07
9.9256E-07 6.6667E-07
3.0792E-06 6.6667E-07
1.4925E-06 6.6667E-07
4.7731E-06 6.6667E-07
2.3245E-06 6.6667E-07
2.2446E-06 6.6667E-07
2.8267E-06 6.6667E-07
3.0258E-06 6.6667E-07
1.3839E-06 6.6667E-07
3.3274E-06 6.6667E-07
2.5795E-06 6.6667E-07
2.3339E-06 6.6667E-07
1.5838E-06 6.6667E-07
1.5495E-06 6.6667E-07
3.0678E-06 6.6667E-07
2.0343E-06 6.6667E-07
2.4739E-06 6.6667E-07
3.2093E-06 6.6667E-07
7.7344E-07 6.6667E-07
3.2584E-06 6.6667E-07
1.7595E-06 6.6667E-07
1.2778E-06 6.6667E-07
1.8189E-06 6.6667E-07
2.5296E-06 6.6667E-07
1.3740E-06 6.6667E-07
1.4672E-06 6.6667E-07
9.7786E-07 6.6667E-07
1.7507E-06 6.6667E-07
8.6539E-07 6.6667E-07
2.0862E-06 6.6667E-07
1.4025E-06 6.6667E-07
1.4245E-06 6.6667E-07
6.7334E-07 6.6667E-07
1.2053E-06 6.6667E-07
1.2975E-06 6.6667E-07
1.2457E-07 6.6667E-07
