Energy     Target
1.7671E-02 6.6667E-07
1.5557E-01 6.6667E-07
2.4409E-01 6.6667E-07
2.2217E-01 6.6667E-07
1.5914E-01 6.6667E-07
1.1851E-01 6.6667E-07
9.3582E-02 6.6667E-07
7.8369E-02 6.6667E-07
6.8628E-02 6.6667E-07
6.2316E-02 6.6667E-07
5.7373E-02 6.6667E-07
5.4836E-02 6.6667E-07
5.1589E-02 6.6667E-07
4.9358E-02 6.6667E-07
4.7639E-02 6.6667E-07
4.4108E-02 6.6667E-07
4.3708E-02 6.6667E-07
4.0910E-02 6.6667E-07
3.9910E-02 6.6667E-07
3.7786E-02 6.6667E-07
3.6221E-02 6.6667E-07
3.4613E-02 6.6667E-07
3.2826E-02 6.6667E-07
3.1389E-02 6.6667E-07
2.9544E-02 6.6667E-07
2.8347E-02 6.6667E-07
2.6497E-02 6.6667E-07
2.5358E-02 6.6667E-07
2.3954E-02 6.6667E-07
2.2468E-02 6.6667E-07
2.1449E-02 6.6667E-07
2.0141E-02 6.6667E-07
1.9276E-02 6.6667E-07
1.7917E-02 6.6667E-07
1.7556E-02 6.6667E-07
1.6262E-02 6.6667E-07
1.6255E-02 6.6667E-07
1.5373E-02 6.6667E-07
1.5100E-02 6.6667E-07
1.4624E-02 6.6667E-07
1.4229E-02 6.6667E-07
1.3912E-02 6.6667E-07
1.3772E-02 6.6667E-07
1.3469E-02 6.6667E-07
1.3331E-02 6.6667E-07
1.3198E-02 6.6667E-07
1.2972E-02 6.6667E-07
1.2796E-02 6.6667E-07
1.2838E-02 6.6667E-07
1.2351E-02 6.6667E-07
1.2603E-02 6.6667E-07
1.2075E-02 6.6667E-07
1.2148E-02 6.6667E-07
1.1622E-02 6.6667E-07
1.1663E-02 6.6667E-07
1.0978E-02 6.6667E-07
1.1328E-02 6.6667E-07
1.0115E-02 6.6667E-07
1.1484E-02 6.6667E-07
9.9905E-03 6.6667E-07
1.1041E-02 6.6667E-07
1.0311E-02 6.6667E-07
1.1043E-02 6.6667E-07
1.0279E-02 6.6667E-07
1.1027E-02 6.6667E-07
1.0243E-02 6.6667E-07
1.0703E-02 6.6667E-07
1.0363E-02 6.6667E-07
1.0449E-02 6.6667E-07
1.0094E-02 6.6667E-07
1.0225E-02 6.6667E-07
9.9292E-03 6.6667E-07
9.9331E-03 6.6667E-07
9.6706E-03 6.6667E-07
9.5992E-03 6.6667E-07
9.1982E-03 6.6667E-07
9.1863E-03 6.6667E-07
8.6564E-03 6.6667E-07
8.7105E-03 6.6667E-07
8.1439E-03 6.6667E-07
8.2745E-03 6.6667E-07
7.6293E-03 6.6667E-07
7.9242E-03 6.6667E-07
6.9975E-03 6.6667E-07
7.6926E-03 6.6667E-07
6.3978E-03 6.6667E-07
7.7396E-03 6.6667E-07
6.4015E-03 6.6667E-07
8.1879E-03 6.6667E-07
7.0411E-03 6.6667E-07
8.8229E-03 6.6667E-07
7.8485E-03 6.6667E-07
9.1494E-03 6.6667E-07
8.2830E-03 6.6667E-07
8.9951E-03 6.6667E-07
8.3444E-03 6.6667E-07
8.5146E-03 6.6667E-07
8.1692E-03 6.6667E-07
7.7882E-03 6.6667E-07
7.8534E-03 6.6667E-07
7.2650E-03 6.6667E-07
7.3276E-03 6.6667E-07
6.8610E-03 6.6667E-07
6.9084E-03 6.6667E-07
6.4545E-03 6.6667E-07
6.5454E-03 6.6667E-07
6.0524E-03 6.6667E-07
6.2494E-03 6.6667E-07
5.7633E-03 6.6667E-07
5.9520E-03 6.6667E-07
5.5888E-03 6.6667E-07
5.7469E-03 6.6667E-07
5.3740E-03 6.6667E-07
5.6952E-03 6.6667E-07
5.2035E-03 6.6667E-07
5.7016E-03 6.6667E-07
4.9873E-03 6.6667E-07
5.7850E-03 6.6667E-07
4.7446E-03 6.6667E-07
5.9361E-03 6.6667E-07
4.7589E-03 6.6667E-07
6.2654E-03 6.6667E-07
4.6700E-03 6.6667E-07
6.8843E-03 6.6667E-07
5.5272E-03 6.6667E-07
7.3968E-03 6.6667E-07
6.2425E-03 6.6667E-07
7.3428E-03 6.6667E-07
6.2156E-03 6.6667E-07
6.8954E-03 6.6667E-07
5.5431E-03 6.6667E-07
6.1864E-03 6.6667E-07
5.0172E-03 6.6667E-07
5.5069E-03 6.6667E-07
4.6070E-03 6.6667E-07
5.0433E-03 6.6667E-07
4.1426E-03 6.6667E-07
4.9011E-03 6.6667E-07
3.8709E-03 6.6667E-07
4.6462E-03 6.6667E-07
3.8952E-03 6.6667E-07
4.5472E-03 6.6667E-07
4.0004E-03 6.6667E-07
4.7809E-03 6.6667E-07
4.0953E-03 6.6667E-07
5.0851E-03 6.6667E-07
4.2438E-03 6.6667E-07
5.4711E-03 6.6667E-07
4.3190E-03 6.6667E-07
5.4464E-03 6.6667E-07
4.3509E-03 6.6667E-07
5.2724E-03 6.6667E-07
4.2759E-03 6.6667E-07
5.0126E-03 6.6667E-07
4.2160E-03 6.6667E-07
4.7932E-03 6.6667E-07
3.9544E-03 6.6667E-07
4.8057E-03 6.6667E-07
3.5048E-03 6.6667E-07
4.8994E-03 6.6667E-07
3.5838E-03 6.6667E-07
4.9640E-03 6.6667E-07
3.8091E-03 6.6667E-07
5.0987E-03 6.6667E-07
4.1101E-03 6.6667E-07
4.9553E-03 6.6667E-07
3.4830E-03 6.6667E-07
4.6120E-03 6.6667E-07
2.8771E-03 6.6667E-07
4.6694E-03 6.6667E-07
2.9150E-03 6.6667E-07
4.4359E-03 6.6667E-07
3.3504E-03 6.6667E-07
4.0611E-03 6.6667E-07
3.5797E-03 6.6667E-07
3.5611E-03 6.6667E-07
3.5846E-03 6.6667E-07
2.8787E-03 6.6667E-07
3.4564E-03 6.6667E-07
2.4951E-03 6.6667E-07
3.3613E-03 6.6667E-07
2.8352E-03 6.6667E-07
4.0108E-03 6.6667E-07
3.0040E-03 6.6667E-07
4.4430E-03 6.6667E-07
2.8841E-03 6.6667E-07
3.9003E-03 6.6667E-07
2.8677E-03 6.6667E-07
3.0296E-03 6.6667E-07
2.3093E-03 6.6667E-07
2.3750E-03 6.6667E-07
2.3291E-03 6.6667E-07
2.2611E-03 6.6667E-07
2.5667E-03 6.6667E-07
2.2514E-03 6.6667E-07
2.9041E-03 6.6667E-07
2.4724E-03 6.6667E-07
2.9450E-03 6.6667E-07
2.7925E-03 6.6667E-07
3.0249E-03 6.6667E-07
2.8663E-03 6.6667E-07
3.0346E-03 6.6667E-07
3.1988E-03 6.6667E-07
3.0659E-03 6.6667E-07
3.7755E-03 6.6667E-07
2.9839E-03 6.6667E-07
3.8663E-03 6.6667E-07
2.6820E-03 6.6667E-07
3.4826E-03 6.6667E-07
2.5072E-03 6.6667E-07
3.4734E-03 6.6667E-07
2.5345E-03 6.6667E-07
3.3993E-03 6.6667E-07
2.8596E-03 6.6667E-07
2.9154E-03 6.6667E-07
2.7804E-03 6.6667E-07
2.1362E-03 6.6667E-07
2.0865E-03 6.6667E-07
2.2492E-03 6.6667E-07
2.7876E-03 6.6667E-07
2.9783E-03 6.6667E-07
2.6626E-03 6.6667E-07
2.6669E-03 6.6667E-07
2.2071E-03 6.6667E-07
1.8039E-03 6.6667E-07
2.0147E-03 6.6667E-07
1.8505E-03 6.6667E-07
2.1125E-03 6.6667E-07
1.9425E-03 6.6667E-07
2.1610E-03 6.6667E-07
2.1054E-03 6.6667E-07
2.2800E-03 6.6667E-07
2.3703E-03 6.6667E-07
2.1875E-03 6.6667E-07
2.0298E-03 6.6667E-07
1.4035E-03 6.6667E-07
1.5751E-03 6.6667E-07
1.7525E-03 6.6667E-07
2.1086E-03 6.6667E-07
1.7909E-03 6.6667E-07
1.4855E-03 6.6667E-07
1.5336E-03 6.6667E-07
1.3270E-03 6.6667E-07
1.6298E-03 6.6667E-07
1.7429E-03 6.6667E-07
1.9529E-03 6.6667E-07
2.0809E-03 6.6667E-07
2.1126E-03 6.6667E-07
1.8859E-03 6.6667E-07
1.5436E-03 6.6667E-07
1.7286E-03 6.6667E-07
2.0587E-03 6.6667E-07
1.6522E-03 6.6667E-07
1.3324E-03 6.6667E-07
1.4920E-03 6.6667E-07
1.5427E-03 6.6667E-07
1.6238E-03 6.6667E-07
1.8272E-03 6.6667E-07
1.7027E-03 6.6667E-07
1.9803E-03 6.6667E-07
1.3774E-03 6.6667E-07
1.6386E-03 6.6667E-07
1.7474E-03 6.6667E-07
1.3528E-03 6.6667E-07
1.6704E-03 6.6667E-07
1.4349E-03 6.6667E-07
1.2959E-03 6.6667E-07
1.4402E-03 6.6667E-07
1.5342E-03 6.6667E-07
1.6034E-03 6.6667E-07
1.6163E-03 6.6667E-07
1.7531E-03 6.6667E-07
1.6862E-03 6.6667E-07
1.8484E-03 6.6667E-07
1.6327E-03 6.6667E-07
2.0008E-03 6.6667E-07
1.6357E-03 6.6667E-07
1.7705E-03 6.6667E-07
1.6731E-03 6.6667E-07
1.6156E-03 6.6667E-07
1.2822E-03 6.6667E-07
1.2940E-03 6.6667E-07
1.4563E-03 6.6667E-07
1.5868E-03 6.6667E-07
1.6449E-03 6.6667E-07
1.6981E-03 6.6667E-07
1.7779E-03 6.6667E-07
1.8837E-03 6.6667E-07
1.6693E-03 6.6667E-07
1.9025E-03 6.6667E-07
1.7477E-03 6.6667E-07
1.6374E-03 6.6667E-07
1.3110E-03 6.6667E-07
1.5930E-03 6.6667E-07
1.0053E-03 6.6667E-07
1.4008E-03 6.6667E-07
1.4876E-03 6.6667E-07
1.6382E-03 6.6667E-07
1.5731E-03 6.6667E-07
1.6129E-03 6.6667E-07
1.3419E-03 6.6667E-07
1.5902E-03 6.6667E-07
1.2119E-03 6.6667E-07
1.4244E-03 6.6667E-07
1.7031E-03 6.6667E-07
1.2116E-03 6.6667E-07
1.3898E-03 6.6667E-07
1.0252E-03 6.6667E-07
1.1791E-03 6.6667E-07
1.1349E-03 6.6667E-07
1.3387E-03 6.6667E-07
1.4765E-03 6.6667E-07
1.4803E-03 6.6667E-07
1.6883E-03 6.6667E-07
1.4145E-03 6.6667E-07
1.2305E-03 6.6667E-07
1.3770E-03 6.6667E-07
1.3333E-03 6.6667E-07
1.7412E-03 6.6667E-07
