Energy     Target
2.3704E-06 1.0000E-06
1.2285E-05 1.0000E-06
5.0957E-05 1.0000E-06
1.8836E-04 1.0000E-06
8.1716E-04 1.0000E-06
3.8424E-03 1.0000E-06
5.8738E-02 1.0000E-06
3.1097E-01 1.0000E-06
3.1249E-01 1.0000E-06
3.2047E-02 1.0000E-06
2.2503E-02 1.0000E-06
3.7499E-04 1.0000E-06
1.3097E-03 1.0000E-06
8.5628E-03 1.0000E-06
4.0893E-02 1.0000E-06
1.3330E-01 1.0000E-06
1.2873E-01 1.0000E-06
1.2552E-02 1.0000E-06
9.6859E-02 1.0000E-06
1.8385E-01 1.0000E-06
2.5939E-01 1.0000E-06
2.4830E-01 1.0000E-06
1.7531E-03 1.0000E-06
4.8602E-01 1.0000E-06
4.8993E-01 1.0000E-06
5.8520E-03 1.0000E-06
7.0548E-03 1.0000E-06
5.6398E-02 1.0000E-06
6.4893E-02 1.0000E-06
8.1072E-03 1.0000E-06
1.0802E-01 1.0000E-06
4.4167E-06 1.0000E-06
4.0473E-06 1.0000E-06
1.3177E-05 1.0000E-06
7.9987E-05 1.0000E-06
9.5726E-04 1.0000E-06
5.6815E-03 1.0000E-06
3.4375E-02 1.0000E-06
1.2186E-01 1.0000E-06
1.2061E-01 1.0000E-06
1.3824E-03 1.0000E-06
2.3136E-03 1.0000E-06
7.9174E-03 1.0000E-06
7.5927E-03 1.0000E-06
1.1537E-01 1.0000E-06
5.2551E-03 1.0000E-06
5.8634E-02 1.0000E-06
1.9321E-01 1.0000E-06
1.8492E-01 1.0000E-06
6.7793E-02 1.0000E-06
2.6577E-03 1.0000E-06
9.6038E-02 1.0000E-06
2.0380E-01 1.0000E-06
1.5964E-01 1.0000E-06
1.4667E-01 1.0000E-06
2.4180E-01 1.0000E-06
7.5850E-02 1.0000E-06
