Energy     Target
6.1435E-05 6.6667E-07
5.3668E-05 6.6667E-07
4.5830E-05 6.6667E-07
4.0947E-05 6.6667E-07
3.6467E-05 6.6667E-07
3.3551E-05 6.6667E-07
3.1007E-05 6.6667E-07
2.9124E-05 6.6667E-07
2.7493E-05 6.6667E-07
2.6171E-05 6.6667E-07
2.4998E-05 6.6667E-07
2.4000E-05 6.6667E-07
2.3031E-05 6.6667E-07
2.2360E-05 6.6667E-07
2.1753E-05 6.6667E-07
2.1145E-05 6.6667E-07
2.0477E-05 6.6667E-07
1.9978E-05 6.6667E-07
1.9562E-05 6.6667E-07
1.8960E-05 6.6667E-07
1.8547E-05 6.6667E-07
1.8198E-05 6.6667E-07
1.7635E-05 6.6667E-07
1.7309E-05 6.6667E-07
1.6917E-05 6.6667E-07
1.6512E-05 6.6667E-07
1.6184E-05 6.6667E-07
1.5812E-05 6.6667E-07
1.5511E-05 6.6667E-07
1.5130E-05 6.6667E-07
1.4841E-05 6.6667E-07
1.4567E-05 6.6667E-07
1.4228E-05 6.6667E-07
1.3997E-05 6.6667E-07
1.3672E-05 6.6667E-07
1.3426E-05 6.6667E-07
1.3200E-05 6.6667E-07
1.2884E-05 6.6667E-07
1.2702E-05 6.6667E-07
1.2452E-05 6.6667E-07
1.2195E-05 6.6667E-07
1.2002E-05 6.6667E-07
1.1796E-05 6.6667E-07
1.1581E-05 6.6667E-07
1.1381E-05 6.6667E-07
1.1208E-05 6.6667E-07
1.1006E-05 6.6667E-07
1.0819E-05 6.6667E-07
1.0662E-05 6.6667E-07
1.0470E-05 6.6667E-07
1.0315E-05 6.6667E-07
1.0149E-05 6.6667E-07
9.9810E-06 6.6667E-07
9.8356E-06 6.6667E-07
9.6770E-06 6.6667E-07
9.5116E-06 6.6667E-07
9.3983E-06 6.6667E-07
9.2303E-06 6.6667E-07
9.0885E-06 6.6667E-07
8.9850E-06 6.6667E-07
8.8148E-06 6.6667E-07
8.7251E-06 6.6667E-07
8.5655E-06 6.6667E-07
8.4452E-06 6.6667E-07
8.3662E-06 6.6667E-07
