Energy     Target
1.7642E-02 6.6667E-07
1.5483E-01 6.6667E-07
2.4011E-01 6.6667E-07
2.1362E-01 6.6667E-07
1.4838E-01 6.6667E-07
1.0789E-01 6.6667E-07
8.4971E-02 6.6667E-07
7.1406E-02 6.6667E-07
6.3881E-02 6.6667E-07
5.8604E-02 6.6667E-07
5.4839E-02 6.6667E-07
5.2911E-02 6.6667E-07
4.9788E-02 6.6667E-07
4.7594E-02 6.6667E-07
4.6142E-02 6.6667E-07
4.2837E-02 6.6667E-07
4.2044E-02 6.6667E-07
3.9880E-02 6.6667E-07
3.7907E-02 6.6667E-07
3.6190E-02 6.6667E-07
3.4070E-02 6.6667E-07
3.2684E-02 6.6667E-07
3.0684E-02 6.6667E-07
2.8965E-02 6.6667E-07
2.7734E-02 6.6667E-07
2.5909E-02 6.6667E-07
2.4482E-02 6.6667E-07
2.3458E-02 6.6667E-07
2.2008E-02 6.6667E-07
2.0904E-02 6.6667E-07
1.9975E-02 6.6667E-07
1.8950E-02 6.6667E-07
1.8040E-02 6.6667E-07
1.7375E-02 6.6667E-07
1.6578E-02 6.6667E-07
1.6008E-02 6.6667E-07
1.5580E-02 6.6667E-07
1.5201E-02 6.6667E-07
1.4620E-02 6.6667E-07
1.4577E-02 6.6667E-07
1.3869E-02 6.6667E-07
1.3941E-02 6.6667E-07
1.3049E-02 6.6667E-07
1.3206E-02 6.6667E-07
1.3074E-02 6.6667E-07
1.3035E-02 6.6667E-07
1.3174E-02 6.6667E-07
1.3399E-02 6.6667E-07
1.3392E-02 6.6667E-07
1.3452E-02 6.6667E-07
1.3560E-02 6.6667E-07
1.3590E-02 6.6667E-07
1.3555E-02 6.6667E-07
1.3574E-02 6.6667E-07
1.3504E-02 6.6667E-07
1.3269E-02 6.6667E-07
1.3357E-02 6.6667E-07
1.2525E-02 6.6667E-07
1.3031E-02 6.6667E-07
1.1951E-02 6.6667E-07
1.2115E-02 6.6667E-07
1.1303E-02 6.6667E-07
1.1305E-02 6.6667E-07
1.0255E-02 6.6667E-07
1.0619E-02 6.6667E-07
9.9265E-03 6.6667E-07
1.0284E-02 6.6667E-07
9.7874E-03 6.6667E-07
9.9979E-03 6.6667E-07
9.6175E-03 6.6667E-07
1.0084E-02 6.6667E-07
9.3937E-03 6.6667E-07
1.0384E-02 6.6667E-07
9.2276E-03 6.6667E-07
1.0627E-02 6.6667E-07
9.3146E-03 6.6667E-07
1.0616E-02 6.6667E-07
9.3656E-03 6.6667E-07
1.0297E-02 6.6667E-07
9.3972E-03 6.6667E-07
9.8219E-03 6.6667E-07
9.0758E-03 6.6667E-07
9.3848E-03 6.6667E-07
8.5738E-03 6.6667E-07
9.0806E-03 6.6667E-07
8.0604E-03 6.6667E-07
8.8471E-03 6.6667E-07
7.6347E-03 6.6667E-07
8.4164E-03 6.6667E-07
7.3761E-03 6.6667E-07
7.9576E-03 6.6667E-07
7.1376E-03 6.6667E-07
7.4874E-03 6.6667E-07
6.9031E-03 6.6667E-07
7.0243E-03 6.6667E-07
6.6305E-03 6.6667E-07
6.5802E-03 6.6667E-07
6.5565E-03 6.6667E-07
6.2700E-03 6.6667E-07
6.4198E-03 6.6667E-07
6.1356E-03 6.6667E-07
6.3471E-03 6.6667E-07
6.1484E-03 6.6667E-07
6.3700E-03 6.6667E-07
6.2268E-03 6.6667E-07
6.4604E-03 6.6667E-07
6.3656E-03 6.6667E-07
6.5763E-03 6.6667E-07
6.4360E-03 6.6667E-07
6.7421E-03 6.6667E-07
6.4041E-03 6.6667E-07
6.8818E-03 6.6667E-07
6.2882E-03 6.6667E-07
6.8381E-03 6.6667E-07
6.0556E-03 6.6667E-07
6.5802E-03 6.6667E-07
5.6889E-03 6.6667E-07
6.2687E-03 6.6667E-07
5.3616E-03 6.6667E-07
6.3535E-03 6.6667E-07
5.3128E-03 6.6667E-07
6.8894E-03 6.6667E-07
5.4925E-03 6.6667E-07
7.6190E-03 6.6667E-07
6.3283E-03 6.6667E-07
8.1345E-03 6.6667E-07
6.7746E-03 6.6667E-07
7.4343E-03 6.6667E-07
6.2542E-03 6.6667E-07
6.0213E-03 6.6667E-07
5.2131E-03 6.6667E-07
4.7732E-03 6.6667E-07
4.5742E-03 6.6667E-07
4.0699E-03 6.6667E-07
4.3158E-03 6.6667E-07
3.7933E-03 6.6667E-07
4.3808E-03 6.6667E-07
3.6810E-03 6.6667E-07
4.6176E-03 6.6667E-07
3.6880E-03 6.6667E-07
4.6549E-03 6.6667E-07
3.8827E-03 6.6667E-07
4.8126E-03 6.6667E-07
4.0872E-03 6.6667E-07
5.0194E-03 6.6667E-07
4.4739E-03 6.6667E-07
4.8568E-03 6.6667E-07
4.4090E-03 6.6667E-07
4.6185E-03 6.6667E-07
3.9984E-03 6.6667E-07
4.7927E-03 6.6667E-07
3.2240E-03 6.6667E-07
4.8994E-03 6.6667E-07
3.1959E-03 6.6667E-07
4.1633E-03 6.6667E-07
3.2999E-03 6.6667E-07
4.3708E-03 6.6667E-07
3.7883E-03 6.6667E-07
4.6964E-03 6.6667E-07
4.0076E-03 6.6667E-07
4.4457E-03 6.6667E-07
3.8057E-03 6.6667E-07
