Energy     Target
9.4443E-05 1.0000E-06
7.8048E-05 1.0000E-06
7.0070E-05 1.0000E-06
4.8288E-05 1.0000E-06
5.3623E-05 1.0000E-06
7.5828E-05 1.0000E-06
2.8578E-05 1.0000E-06
2.4703E-05 1.0000E-06
2.1830E-05 1.0000E-06
2.0120E-05 1.0000E-06
2.6492E-05 1.0000E-06
1.6238E-05 1.0000E-06
3.5976E-05 1.0000E-06
4.6925E-06 1.0000E-06
1.7800E-05 1.0000E-06
1.8216E-05 1.0000E-06
4.0467E-05 1.0000E-06
6.3790E-05 1.0000E-06
2.7248E-06 1.0000E-06
2.4134E-06 1.0000E-06
1.0582E-06 1.0000E-06
1.2352E-06 1.0000E-06
1.4313E-06 1.0000E-06
1.0670E-06 1.0000E-06
2.1493E-06 1.0000E-06
2.0822E-06 1.0000E-06
9.4274E-07 1.0000E-06
0.0000E+00 1.0000E-06
