Energy     Target
4.0081E-03 6.6667E-07
1.8051E-02 6.6667E-07
1.7436E-03 6.6667E-07
1.6504E-03 6.6667E-07
8.7062E-04 6.6667E-07
5.9648E-04 6.6667E-07
2.2548E-04 6.6667E-07
2.2347E-04 6.6667E-07
1.6931E-04 6.6667E-07
1.8497E-04 6.6667E-07
9.7007E-05 6.6667E-07
1.4904E-04 6.6667E-07
1.1330E-04 6.6667E-07
1.5424E-04 6.6667E-07
9.3130E-05 6.6667E-07
6.9115E-05 6.6667E-07
1.1251E-04 6.6667E-07
5.9778E-05 6.6667E-07
1.0049E-04 6.6667E-07
4.8212E-05 6.6667E-07
5.9919E-05 6.6667E-07
2.8337E-05 6.6667E-07
9.1207E-05 6.6667E-07
3.0368E-05 6.6667E-07
3.9404E-05 6.6667E-07
4.9337E-05 6.6667E-07
2.4057E-05 6.6667E-07
3.4261E-05 6.6667E-07
1.4668E-05 6.6667E-07
1.7303E-05 6.6667E-07
1.6958E-05 6.6667E-07
2.7342E-05 6.6667E-07
1.9520E-05 6.6667E-07
1.9208E-05 6.6667E-07
2.3518E-05 6.6667E-07
1.9212E-05 6.6667E-07
1.2106E-05 6.6667E-07
1.1756E-05 6.6667E-07
1.3508E-05 6.6667E-07
2.3097E-05 6.6667E-07
2.1057E-05 6.6667E-07
2.1141E-05 6.6667E-07
7.1911E-06 6.6667E-07
1.1607E-05 6.6667E-07
1.0131E-05 6.6667E-07
1.4975E-05 6.6667E-07
1.1056E-05 6.6667E-07
7.0832E-06 6.6667E-07
7.8265E-06 6.6667E-07
1.2616E-05 6.6667E-07
7.2637E-06 6.6667E-07
7.8207E-06 6.6667E-07
3.2712E-06 6.6667E-07
1.0699E-05 6.6667E-07
5.5944E-06 6.6667E-07
4.0224E-06 6.6667E-07
5.7129E-06 6.6667E-07
6.0313E-06 6.6667E-07
4.6100E-06 6.6667E-07
5.9146E-06 6.6667E-07
5.2114E-06 6.6667E-07
4.4381E-06 6.6667E-07
4.7913E-06 6.6667E-07
5.2624E-06 6.6667E-07
5.7456E-06 6.6667E-07
5.8326E-06 6.6667E-07
4.2164E-06 6.6667E-07
3.1736E-06 6.6667E-07
4.2958E-06 6.6667E-07
4.3606E-06 6.6667E-07
4.3207E-06 6.6667E-07
5.3282E-06 6.6667E-07
3.9260E-06 6.6667E-07
3.4344E-06 6.6667E-07
4.2568E-06 6.6667E-07
4.3065E-06 6.6667E-07
4.6568E-06 6.6667E-07
4.1142E-06 6.6667E-07
3.0417E-06 6.6667E-07
2.9881E-06 6.6667E-07
3.2893E-06 6.6667E-07
2.4049E-06 6.6667E-07
2.5974E-06 6.6667E-07
2.3321E-06 6.6667E-07
2.5997E-06 6.6667E-07
3.1852E-06 6.6667E-07
2.7577E-06 6.6667E-07
3.5695E-06 6.6667E-07
3.0070E-06 6.6667E-07
2.5551E-06 6.6667E-07
2.2577E-06 6.6667E-07
2.5228E-06 6.6667E-07
2.4665E-06 6.6667E-07
2.2199E-06 6.6667E-07
1.6671E-06 6.6667E-07
2.5111E-06 6.6667E-07
2.9332E-06 6.6667E-07
2.3613E-06 6.6667E-07
1.4266E-06 6.6667E-07
2.2547E-06 6.6667E-07
1.6613E-07 6.6667E-07
